"행정구역","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"경상남도 경상남도 창원시 (4812000000)","1,021,487","456,191","          2.24","517,211","504,276","          1.03","1,009,038","456,830","          2.21","510,633","498,405","          1.02","999,858","459,474","          2.18","506,050","493,808","          1.02"
"경상남도 경상남도 창원시 의창구 (4812100000)","215,823","96,712","          2.23","109,824","105,999","          1.04","213,342","96,997","          2.20","108,453","104,889","          1.03","209,695","97,065","          2.16","106,604","103,091","          1.03"
"경상남도 창원시 의창구 동읍(4812125000)","19,391","9,153","          2.12","9,911","9,480","          1.05","18,854","9,079","          2.08","9,643","9,211","          1.05","18,279","9,004","          2.03","9,334","8,945","          1.04"
"경상남도 창원시 의창구 북면(4812131000)","43,092","16,635","          2.59","21,700","21,392","          1.01","43,163","16,714","          2.58","21,664","21,499","          1.01","42,941","16,884","          2.54","21,516","21,425","          1.00"
"경상남도 창원시 의창구 대산면(4812132000)","6,956","3,687","          1.89","3,513","3,443","          1.02","6,789","3,671","          1.85","3,417","3,372","          1.01","6,674","3,671","          1.82","3,382","3,292","          1.03"
"경상남도 창원시 의창구 의창동(4812151000)","50,093","21,371","          2.34","25,327","24,766","          1.02","49,453","21,314","          2.32","24,913","24,540","          1.02","48,537","21,184","          2.29","24,413","24,124","          1.01"
"경상남도 창원시 의창구 팔룡동(4812152000)","25,757","11,173","          2.31","13,106","12,651","          1.04","25,568","11,205","          2.28","12,982","12,586","          1.03","24,886","11,212","          2.22","12,677","12,209","          1.04"
"경상남도 창원시 의창구 명곡동(4812153000)","40,556","18,339","          2.21","20,606","19,950","          1.03","39,576","18,163","          2.18","20,087","19,489","          1.03","39,104","18,239","          2.14","19,765","19,339","          1.02"
"경상남도 창원시 의창구 봉림동(4812154000)","29,978","16,354","          1.83","15,661","14,317","          1.09","29,939","16,851","          1.78","15,747","14,192","          1.11","29,274","16,871","          1.74","15,517","13,757","          1.13"
"경상남도 경상남도 창원시 성산구 (4812300000)","248,512","106,194","          2.34","126,737","121,775","          1.04","245,259","106,216","          2.31","125,110","120,149","          1.04","244,489","107,403","          2.28","124,687","119,802","          1.04"
"경상남도 창원시 성산구 반송동(4812351000)","40,120","15,542","          2.58","20,158","19,962","          1.01","39,890","15,637","          2.55","20,101","19,789","          1.02","39,004","15,545","          2.51","19,611","19,393","          1.01"
"경상남도 창원시 성산구 용지동(4812351500)","27,350","12,397","          2.21","13,800","13,550","          1.02","26,854","12,263","          2.19","13,534","13,320","          1.02","26,167","12,167","          2.15","13,175","12,992","          1.01"
"경상남도 창원시 성산구 중앙동(4812352000)","34,573","18,428","          1.88","18,693","15,880","          1.18","34,619","18,725","          1.85","18,824","15,795","          1.19","37,763","19,993","          1.89","20,406","17,357","          1.18"
"경상남도 창원시 성산구 상남동(4812353000)","27,198","10,758","          2.53","13,631","13,567","          1.00","26,876","10,848","          2.48","13,460","13,416","          1.00","26,359","10,820","          2.44","13,114","13,245","          0.99"
"경상남도 창원시 성산구 사파동(4812354000)","46,259","19,717","          2.35","22,935","23,324","          0.98","45,790","19,838","          2.31","22,645","23,145","          0.98","44,547","19,723","          2.26","22,139","22,408","          0.99"
