var,pearson_r,spearman_r,N
factories_density,-0.18683244614082253,-0.24626128065307393,55
emp_density,-0.25430680563591535,-0.23606841277155624,55
n_factories,-0.32251859090933466,-0.29734737543470613,55
emp_sum,-0.35415613000563556,-0.3006563916166782,55
