"행정구역별(1)",행정구역별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(1)",행정구역별(2),합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상
"행정구역별(1)",행정구역별(2),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"의창구",명곡동,3816,1601,15393,7900,7493,3258,5709,348,2127,111,1414,69,2169,17,1133,11,1551,1,386,1,904,-,-,4693,1905,14916,7485,7431,4200,6093,306,1927,97,1261,60,1849,21,1423,7,1112,1,357,1,894,0,0,4613,1909,14956,7416,7540,4167,6074,254,1648,98,1297,65,1977,22,1527,4,703,2,799,1,931,0,0,4604,1918,14848,7531,7317,4143,6036,263,1695,106,1391,62,1905,22,1481,6,919,1,488,1,933,0,0,4583,1927,14436,7149,7287,4116,5740,270,1694,100,1262,70,2089,20,1286,5,871,1,X,-,-,1,X
"의창구",봉림동,2974,1331,14389,7455,6934,2604,4579,241,1455,57,776,42,1310,17,1129,10,1605,-,-,-,-,3,3535,3999,1692,18579,9749,8830,3628,5244,217,1361,70,935,43,1359,22,1452,13,2082,1,311,2,1549,3,4286,3986,1675,19405,9978,9427,3527,5272,289,1779,75,1002,58,1871,20,1280,9,1407,3,957,2,1919,3,3918,3980,1683,19472,9827,9645,3569,5253,250,1563,72,952,50,1620,20,1293,11,2017,3,968,2,1661,3,4145,4026,1714,20199,9879,10320,3614,5337,234,1449,89,1144,52,1672,19,1248,9,1782,4,1297,2,X,3,4471
"의창구",용지동,2570,1086,20214,10838,9376,2025,3664,310,1926,113,1484,64,1946,36,2384,14,2241,3,1107,3,2005,2,3457,3215,1395,18636,10177,8459,2704,4157,299,1898,93,1276,67,2032,28,1974,17,2859,3,1156,3,1915,1,1369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"성산구",소계,18492,7551,150968,102054,48914,14022,26068,2451,15624,961,12790,653,19516,244,16712,109,17628,27,10252,15,10669,10,21709,24659,9586,152872,104461,48411,20521,30594,2167,14030,936,12293,651,19351,227,15702,103,17190,26,9838,17,11262,11,22612,28799,11308,177911,117105,60806,24052,36293,2437,15426,1095,14469,747,22465,288,19727,123,20641,26,10548,18,11926,13,26416,28432,11217,182130,119819,62311,23613,36541,2521,16054,1082,14489,746,22498,287,19279,121,20444,32,12788,16,10861,14,29176,28212,11255,182202,117943,64259,23285,34477,2599,16501,1106,14730,760,23274,285,19815,116,19992,31,12362,16,10944,14,30107
"성산구",반송동,1519,765,4855,2003,2852,1329,2166,124,735,39,500,19,530,6,449,1,128,1,347,-,-,-,-,1984,923,4911,2111,2800,1816,2508,110,668,33,409,15,384,7,451,3,491,0,0,0,0,0,0,1993,906,5028,2166,2862,1831,2471,102,640,34,439,17,472,6,413,3,593,0,0,0,0,0,0,1934,919,5040,2056,2984,1774,2480,108,678,30,399,12,349,7,506,2,317,1,311,0,0,0,0,2011,960,5161,2112,3049,1853,2423,107,659,26,345,14,414,8,547,2,X,1,X,-,-,-,-
"성산구",중앙동,4466,1787,33801,19698,14103,3377,6178,527,3358,281,3743,184,5531,56,3762,28,4318,7,2463,5,3253,1,1195,6667,2533,35833,21069,14764,5661,8110,469,3026,263,3409,184,5680,53,3727,24,4051,4,1530,8,5269,1,1031,7484,2814,42387,24822,17565,6246,9005,572,3687,327,4356,218,6803,76,5134,32,4999,7,2867,4,2594,2,2942,7339,2715,43295,25519,17776,6102,9162,576,3718,310,4141,234,7234,71,4574,31,4840,8,3167,5,3232,2,3227,7307,2722,43867,25590,18277,6024,8778,614,3923,302,4078,254,7992,68,4685,31,5281,8,3123,4,2750,2,X
"성산구",용지동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3058,1352,17933,9485,8448,2558,3986,281,1748,96,1256,71,2180,34,2422,12,2038,1,447,4,2467,1,1389,3026,1329,20031,11092,8939,2537,3950,289,1854,82,1126,70,2287,27,1874,14,2419,3,1383,2,1474,2,3664,4468,2160,14208,5746,8462,3805,5855,468,2944,128,1649,44,1260,21,1368,-,-,1,X,1,X,-,-
"성산구",상남동,3660,1810,14992,5722,9270,2989,6083,461,2839,140,1833,47,1332,19,1243,1,102,2,792,1,768,-,-,4464,2217,13067,5438,7629,3921,5936,350,2234,130,1692,47,1390,12,807,2,224,2,784,0,0,0,0,4531,2175,12992,5279,7713,4023,6318,349,2143,98,1251,39,1093,18,1213,2,212,2,762,0,0,0,0,4439,2165,13839,5468,8371,3821,6348,436,2714,122,1593,39,1113,18,1177,1,101,2,793,0,0,0,0,3023,1345,8624,4035,4589,2688,3815,225,1429,65,871,29,870,14,976,1,X,1,X,-,-,-,-
"성산구",사파동,2250,1063,8192,3802,4390,1909,3361,224,1359,64,805,37,1081,14,970,1,251,1,365,-,-,-,-,2876,1292,8665,4046,4619,2541,3830,212,1340,75,934,33,946,12,850,2,349,1,416,0,0,0,0,2931,1328,8427,3928,4499,2612,3898,208,1295,65,838,31,903,13,866,1,220,1,407,0,0,0,0,2934,1345,8650,3954,4696,2611,3906,202,1254,71,939,35,1021,13,896,1,246,1,388,0,0,0,0,2322,1211,10905,6617,4288,2095,2921,148,886,32,420,29,886,11,890,5,750,-,-,1,X,1,X
"성산구",가음정동,1705,945,10358,6373,3985,1458,2552,172,1041,35,451,24,670,11,784,3,446,-,-,1,940,1,3474,2207,1148,10473,6374,4099,1985,2858,154,957,25,330,24,716,10,765,7,1049,0,0,1,846,1,2952,2255,1191,11558,7088,4470,2034,2941,138,855,36,480,28,838,10,737,7,1032,0,0,1,837,1,3838,2237,1190,10938,6598,4340,2017,2926,142,897,33,422,23,684,13,873,7,1017,0,0,1,768,1,3351,2029,803,25831,19413,6418,1611,2365,164,1047,102,1362,77,2296,41,2872,21,3618,5,2091,3,1689,5,8491
