adm_cd,n_stops,n_routes,adm_nm,area_km2,stops_density,routes_density
3811111,158,874,경상남도 창원시의창구 동읍,59.254912043365636,2.6664456084985475,14.74983203688437
3811131,221,1076,경상남도 창원시의창구 북면,74.52859082448066,2.9653049595485896,14.437412382236571
3811132,112,392,경상남도 창원시의창구 대산면,33.03283322892623,3.3905659627743865,11.866980869710352
3811151,63,537,경상남도 창원시의창구 의창동,7.624926160095271,8.262375094162595,70.42691151690974
3811152,99,739,경상남도 창원시의창구 팔룡동,14.60709376783383,6.777528889285777,50.59185706244635
3811153,40,473,경상남도 창원시의창구 명곡동,6.942610771079798,5.76152132373953,68.12998965321994
3811154,69,418,경상남도 창원시의창구 봉림동,12.67388192465538,5.444267226899876,32.98121305571229
3811251,24,154,경상남도 창원시성산구 반송동,1.9200913339227839,12.499405406391546,80.20451802434576
3811252,41,271,경상남도 창원시성산구 중앙동,4.628941183732943,8.857317121263602,58.54470585030332
3811253,9,145,경상남도 창원시성산구 상남동,1.182656923033811,7.609983778653869,122.60529421164567
3811254,45,284,경상남도 창원시성산구 사파동,6.49294426497726,6.9306000734872475,43.73978713045285
3811255,36,420,경상남도 창원시성산구 가음정동,2.9425341841582875,12.234352346291537,142.7341107067346
3811256,62,349,경상남도 창원시성산구 성주동,25.958972139618382,2.3883842421239816,13.444291943568864
3811257,98,385,경상남도 창원시성산구 웅남동,39.42762611742833,2.4855668385442238,9.76472686570945
3811258,39,296,경상남도 창원시성산구 용지동,2.6432417172325735,14.754609745200412,111.98370473280312
3811331,149,528,경상남도 창원시마산합포구 구산면,51.827881371856606,2.8749004600622063,10.18756673095869
3811332,72,431,경상남도 창원시마산합포구 진동면,33.782063572970074,2.1313085224790447,12.758249627617614
3811333,108,232,경상남도 창원시마산합포구 진북면,46.62302419210105,2.316452050707975,4.976082183002316
3811334,126,365,경상남도 창원시마산합포구 진전면,78.82440614278934,1.5984896831541326,4.630545510724273
3811351,54,502,경상남도 창원시마산합포구 현동,19.930236901809185,2.709450984754632,25.187859154570837
3811352,21,195,경상남도 창원시마산합포구 가포동,5.409628650990493,3.881967017487409,36.04683659095451
3811353,39,492,경상남도 창원시마산합포구 월영동,2.6714182333585303,14.598986977403706,184.17183571493908
3811354,19,332,경상남도 창원시마산합포구 문화동,1.8661360792897708,10.1814654412722,177.9077119211774
3811357,16,171,경상남도 창원시마산합포구 완월동,2.487444373383868,6.432304646167396,68.74525590591405
3811358,15,26,경상남도 창원시마산합포구 자산동,1.1752778126279246,12.76293982480615,22.122429029663994
3811364,10,206,경상남도 창원시마산합포구 합포동,0.5746745141103851,17.401154487388965,358.4637824402127
3811365,10,209,경상남도 창원시마산합포구 산호동,0.8740368986015506,11.441164573257593,239.1203395810837
3811366,19,464,경상남도 창원시마산합포구 반월중앙동,1.0975326423696536,17.31155800430464,422.7664691577554
3811367,30,538,경상남도 창원시마산합포구 오동동,1.7582690430536652,17.06223522419393,305.98275168721113
3811368,17,102,경상남도 창원시마산합포구 교방동,2.9979627437968417,5.670517432271337,34.02310459362803
3811411,161,894,경상남도 창원시마산회원구 내서읍,56.291028810809806,2.860136035905645,15.881749168320786
3811451,13,140,경상남도 창원시마산회원구 회원1동,0.6801615568741045,19.11310609753596,205.8334502811565
3811452,11,31,경상남도 창원시마산회원구 회원2동,4.581405974927724,2.401009659523469,6.766481767747958
3811455,24,264,경상남도 창원시마산회원구 회성동,8.524874029080655,2.8152908674227324,30.968199541650055
3811456,11,171,경상남도 창원시마산회원구 양덕1동,1.014745017843892,10.840161623431825,168.5152397824402
3811457,23,340,경상남도 창원시마산회원구 양덕2동,1.6913129294304254,13.598902722126999,201.02725763144258
3811458,16,161,경상남도 창원시마산회원구 합성1동,4.053998860361071,3.9467203990715856,39.71387401565783
3811459,16,168,경상남도 창원시마산회원구 합성2동,2.546112702722979,6.284089460332434,65.98293933349056
3811460,25,157,경상남도 창원시마산회원구 구암1동,3.4732450540961173,7.197879680420661,45.20268439304175
3811461,15,242,경상남도 창원시마산회원구 구암2동,0.7642881785288244,19.626104944961266,316.6344931120418
3811462,17,122,경상남도 창원시마산회원구 봉암동,5.649566154116373,3.0090806154404444,21.594578534337305
3811463,20,315,경상남도 창원시마산회원구 석전동,2.0940989379748416,9.550647124314754,150.42269220795737
3811554,25,146,경상남도 창원시진해구 여좌동,4.704499646230612,5.31406140502758,31.034118605361066
3811555,15,89,경상남도 창원시진해구 태백동,1.2212482303017083,12.282515239587502,72.87625708821918
3811556,23,86,경상남도 창원시진해구 경화동,3.041796269108699,7.5613216550954,28.272767927748017
3811557,6,46,경상남도 창원시진해구 병암동,1.2340210279149075,4.862153775562512,37.27651227931259
3811558,12,49,경상남도 창원시진해구 석동,2.258558045753931,5.3131244612286554,21.695258216683676
3811559,13,73,경상남도 창원시진해구 이동,0.9043570181954025,14.37485388894402,80.72033337637797
3811560,24,71,경상남도 창원시진해구 자은동,5.442345525754507,4.40986333675915,13.045845704579152
3811561,19,68,경상남도 창원시진해구 덕산동,2.429091722651452,7.8218536676995996,27.994002600188043
3811562,48,217,경상남도 창원시진해구 풍호동,8.573330392505488,5.598757752525198,25.311050672874334
3811563,81,212,경상남도 창원시진해구 웅천동,28.190019591824544,2.8733573503258936,7.520392077396166
3811564,46,141,경상남도 창원시진해구 웅동1동,32.38898567667505,1.4202358931273027,4.353331759368471
3811565,83,265,경상남도 창원시진해구 웅동2동,15.280903209250994,5.431616106942694,17.341906847467637
3811566,47,267,경상남도 창원시진해구 충무동,18.13138630153564,2.592190096132877,14.725845865265494
