시도명,시군구명,관리기관,회사명,공장구분,단지명,공장주소,공장주소_지번,종업원합계,addr_raw,addr_gu,bjd7,prio,dong_list,bjd7_step2
경상남도,창원시 의창구,경상남도 창원시,태원산전,개별, ,경상남도 창원시 의창구 하남천서길51번길 36 (도계동),경상남도 창원시 의창구 도계동 315-12번지,1,경상남도 창원시 의창구 하남천서길51번길 36 (도계동),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)남광전자,개별, ,경상남도 창원시 의창구 소계동 720-3번지,경상남도 창원시 의창구 소계동 720-3번지,15,경상남도 창원시 의창구 소계동 720-3번지,의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,대신기업,개별, ,경상남도 창원시 의창구 구암동정길 88 (소계동) (총 3 필지),경상남도 창원시 의창구 소계동 130-215번지,2,경상남도 창원시 의창구 구암동정길 88 (소계동) (총 3 필지),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,부강산업,개별, ,경상남도 창원시 의창구 구암동정길 88 (소계동) (총 3 필지),경상남도 창원시 의창구 소계동 130-215번지,2,경상남도 창원시 의창구 구암동정길 88 (소계동) (총 3 필지),의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,스피드테크,개별, ,"경상남도 창원시 의창구 창원대학로 20, 53호관 209호 (용동, 창원대학교)",경상남도 창원시 의창구 용동 186번지 창원대학교 53호관 209호,3,"경상남도 창원시 의창구 창원대학로 20, 53호관 209호 (용동, 창원대학교)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,주식회사 알씨엔이,개별, ,"경상남도 창원시 의창구 창원대학로 20, 82호관 작업장 1 (용동, 창원대학교)",경상남도 창원시 의창구 용동 69번지 창원대학교 82호관 작업장 1,4,"경상남도 창원시 의창구 창원대학로 20, 82호관 작업장 1 (용동, 창원대학교)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)디오아이티,개별, ,"경상남도 창원시 의창구 충혼로 91 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 125-11번지 창원문성대학,4,"경상남도 창원시 의창구 충혼로 91 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)세미젠,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 316 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 125-11번지 창원문성대학 창업보육센터 316,1,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 316 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)신성터보마스터,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 208호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 121-1번지 창원문성대학 창업보육센터 208호,2,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 208호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)신엽테크,개별, ,경상남도 창원시 의창구 두대동 196번지,경상남도 창원시 의창구 두대동 196번지,7,경상남도 창원시 의창구 두대동 196번지,의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)써맨,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육관 5호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 125-11번지 창원문성대학 창업보육관 5호,5,"경상남도 창원시 의창구 충혼로 91, 창업보육관 5호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)유스타,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 425호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 산 66-2번지 창원문성대학 창업보육센터 425호,4,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 425호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)테크노믹스,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 4층 27호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 125-11번지 창원문성대학 창업보육센터 4층 27호,2,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 4층 27호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)티에이,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 31호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 196-1번지 창원문성대학 창업보육센터 31호,1,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 31호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,가온텍,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 3층 13호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 산 66-2번지 창원문성대학 창업보육센터 3층 13호,2,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 3층 13호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,다온테크,개별, ,"경상남도 창원시 의창구 충혼로 91, 2층 4호 (창업보육센터) (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 121-1번지 창원문성대학 2층 4호 (창업보육센터),2,"경상남도 창원시 의창구 충혼로 91, 2층 4호 (창업보육센터) (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,비앤비 솔루션,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 2층 5호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 210-2번지 창원문성대학 창업보육센터 2층 5호,1,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 2층 5호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,서희엔지니어링(주),개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 5층 학생창업 1호실 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 108-2번지,4,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 5층 학생창업 1호실 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,씨아이이,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 203호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 산 66-1번지 창원문성대학 창업보육센터 203호,1,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 203호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,엘렉스 팩토리,개별, ,"경상남도 창원시 의창구 충혼로 91, 창원보육센터 4층 20호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 108-2번지 창원문성대학 창원보육센터 4층 20호,1,"경상남도 창원시 의창구 충혼로 91, 창원보육센터 4층 20호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,올스팀,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 501호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 108-2번지 창원문성대학 창업보육센터 501호,2,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 501호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,주식회사 에스제이솔루션,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 317호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 108-2번지 창원문성대학 창업보육센터 317호,1,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 317호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,하미테크(주),개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 209호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 산 66-2번지 창원문성대학 창업보육센터 209호,5,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 209호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,하이렌,개별, ,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 314호 (두대동, 창원문성대학)",경상남도 창원시 성산구 두대동 196-1번지 창원문성대학 창업보육센터 314호,2,"경상남도 창원시 의창구 충혼로 91, 창업보육센터 314호 (두대동, 창원문성대학)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,(주)대동퍼시픽,개별, ,"경상남도 창원시 의창구 창원대학로 20, 1층 3호 (퇴촌동, 창원대학교)",경상남도 창원시 성산구 퇴촌동 69번지 창원대학교 1층 3호,3,"경상남도 창원시 의창구 창원대학로 20, 1층 3호 (퇴촌동, 창원대학교)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,아시아테크(주),개별, ,경상남도 창원시 의창구 퇴촌동 234번지 창원대학교 58호관,경상남도 창원시 성산구 퇴촌동 234번지 창원대학교 58호관,0,경상남도 창원시 의창구 퇴촌동 234번지 창원대학교 58호관,의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,에스이랩스,개별, ,"경상남도 창원시 의창구 창원대학로 20, 창업보육센터 321호 (퇴촌동, 창원대학교)",경상남도 창원시 성산구 퇴촌동 69번지 창원대학교 창업보육센터 321호,2,"경상남도 창원시 의창구 창원대학로 20, 창업보육센터 321호 (퇴촌동, 창원대학교)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,주식회사 동아에이블,개별, ,"경상남도 창원시 의창구 창원대학로 20, 82호관 317-2(제2창업실) (퇴촌동, 창원대학교)",경상남도 창원시 성산구 퇴촌동 69번지 창원대학교 82호관 317-2(제2창업실),3,"경상남도 창원시 의창구 창원대학로 20, 82호관 317-2(제2창업실) (퇴촌동, 창원대학교)",의창구,,0.0,,
경상남도,창원시 의창구,경상남도 창원시,지유테크(GU-Tech),개별, ,"경상남도 창원시 의창구 창원대학로 20 (퇴촌동, 창원대학교)",경상남도 창원시 성산구 퇴촌동 69번지 창원대학교,4,"경상남도 창원시 의창구 창원대학로 20 (퇴촌동, 창원대학교)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)대덕기업,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로113번길 25-44 (대원동, (주)대덕테크)",경상남도 창원시 성산구 대원동 86-6번지,30,"경상남도 창원시 의창구 남면로113번길 25-44 (대원동, (주)대덕테크)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)대주건영,계획,창원국가산업단지,경상남도 창원시 의창구 남면로113번길 25-28 (대원동),경상남도 창원시 성산구 대원동 86-3번지,9,경상남도 창원시 의창구 남면로113번길 25-28 (대원동),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)동아,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로113번길 20 (대원동, 동아건설산업(주)) (총 2 필지)",경상남도 창원시 성산구 대원동 91 번지,99,"경상남도 창원시 의창구 남면로113번길 20 (대원동, 동아건설산업(주)) (총 2 필지)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)동원에프앤비창원공장,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 201 (대원동, 동원산업)",경상남도 창원시 성산구 대원동 91-1번지,429,"경상남도 창원시 의창구 남면로 201 (대원동, 동원산업)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)세진테크윈,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로113번길 25-46 (대원동, 영일전기(주))",경상남도 창원시 성산구 대원동 86-2번지,6,"경상남도 창원시 의창구 남면로113번길 25-46 (대원동, 영일전기(주))",의창구,,0.0,,
