bjd7,adm_nm,area_km2,n_factories,emp_sum,factories_density,emp_density,bjd7_norm,adm_key,youth_share,adm_key_b2
4812956,경상남도 창원시진해구 경화동,3.0384732518894952,0.0,0.0,0.0,0.0,4812956,진해구 경화동,0.1354863367093445,
4812961,경상남도 창원시진해구 덕산동,2.4264261599864647,0.0,0.0,0.0,0.0,4812961,진해구 덕산동,0.1686851211072664,
4812957,경상남도 창원시진해구 병암동,1.2326705180290782,0.0,0.0,0.0,0.0,4812957,진해구 병암동,0.1407752841737103,
4812958,경상남도 창원시진해구 석동,2.256081129982584,1.0,5.0,0.4432464713747771,2.2162323568738853,4812958,진해구 석동,0.1813077552930167,
4812954,경상남도 창원시진해구 여좌동,4.69937928600607,0.0,0.0,0.0,0.0,4812954,진해구 여좌동,0.1296889002688516,
4812964,경상남도 창원시진해구 웅동1동,32.352961683839226,0.0,0.0,0.0,0.0,4812964,진해구 웅동1동,0.158853301545737,
4812965,경상남도 창원시진해구 웅동2동,15.263792758171844,0.0,0.0,0.0,0.0,4812965,진해구 웅동2동,0.158853301545737,
4812963,경상남도 창원시진해구 웅천동,28.15885023878012,3.0,24.0,0.1065384408298186,0.852307526638549,4812963,진해구 웅천동,0.1533919055163474,
4812959,경상남도 창원시진해구 이동,0.9033662075415723,4.0,37.0,4.42788314042168,40.957919048900536,4812959,진해구 이동,0.1803916798443011,
4812960,경상남도 창원시진해구 자은동,5.4363544913405875,0.0,0.0,0.0,0.0,4812960,진해구 자은동,0.1468711352955726,
4812953,경상남도 창원시진해구 충무동,18.111706334394082,0.0,0.0,0.0,0.0,4812953,진해구 충무동,0.1874798322039367,
4812955,경상남도 창원시진해구 태백동,1.2199159795975612,0.0,0.0,0.0,0.0,4812955,진해구 태백동,0.1292281006071118,
4812962,경상남도 창원시진해구 풍호동,8.563916293578602,0.0,0.0,0.0,0.0,4812962,진해구 풍호동,0.1227171941140899,
