adm9,yyyymm,pop_total,rent_p50,rent_mean,reliability,adm_nm,stop_density_500m,qol_transit_z,qol_transit_0_100,z_access_index,area_km2,n_factories,emp_sum,factories_per_km2,emp_per_km2
481212500,202012,20051.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202101,20005.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202102,19921.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202103,19896.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202104,19881.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202105,19875.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202106,19831.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202107,19815.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202108,19774.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202109,19803.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202110,19756.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202111,19802.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202112,19769.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202201,19751.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202202,19686.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202203,19629.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202204,19615.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202205,19591.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202206,19584.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202207,19596.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202208,19536.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202209,19541.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202210,19516.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202211,19469.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202212,19391.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
481212500,202301,19332.0,,,,경상남도 창원시의창구 동읍,2.987094131039512,-1.2861104368244816,47.35316694242841,-1.2861104368244816,59.19039376782226,86.0,1176.0,1.4529384673016363,19.86808880868284
