station_id,headway_mean_s,headway_cv,n_routes,n_pairs
CWB379000951,81.2,0.036699999999999997,10,30
CWB379001031,81.01,0.0385,10,30
CWB379001107,82.43636363636364,0.0369,11,30
CWB379001114,93.125,0.1978888888888889,12,26
CWB379001139,82.30909090909091,0.0371,11,29
CWB379001173,82.5909090909091,0.038900000000000004,11,29
CWB379001224,82.58181818181818,0.0794,11,30
CWB379001228,116.43076923076923,0.10371428571428572,13,26
CWB379001246,82.77272727272727,0.0841,11,30
CWB379001284,82.31818181818181,0.079,11,30
CWB379001312,115.7,0.12,11,27
CWB379001313,84.43636363636364,0.11810000000000001,11,30
CWB379001328,84.06363636363636,0.1226,11,30
CWB379001331,118.48181818181818,0.10169999999999998,11,26
CWB379001344,86.60909090909091,0.09933333333333333,11,25
CWB379001347,84.72727272727273,0.1243,11,30
CWB379001376,82.60000000000001,0.0738,11,30
CWB379001392,82.87272727272727,0.0852,11,30
CWB379001394,83.84615384615384,0.0511,13,26
CWB379001418,93.65454545454546,0.20777777777777776,11,24
