lat,lon,station_id,station_name,nodeno,n_routes,n_routes_dir,avg_nodeord,route_nums_sample,lat_ok,lon_ok,name_ok
35.36420745,128.5997733,CWB379000050,앞실마을입구,121501,3,3,77.67,"11, 15, 21",True,True,True
35.36452782,128.56500939,CWB379000051,음달마을,630006,1,1,89.0,11,True,True,True
35.36413163,128.5998637,CWB379000052,앞실마을입구,121502,3,3,86.67,"11, 15, 21",True,True,True
35.3631755,128.64840381,CWB379000054,본포입구,104648,2,4,67.75,"30, 33",True,True,True
35.36320665,128.64826693,CWB379000055,본포입구,104645,2,4,72.75,"30, 33",True,True,True
35.36347093,128.56728562,CWB379000056,내봉촌(음달마을),630007,1,1,93.0,11,True,True,True
35.36093585,128.6825248,CWB379000058,송정종점,116701,4,4,60.5,"3, 32, 36",True,True,True
35.36097025,128.68236953,CWB379000059,송정,116702,4,4,59.75,"3, 32, 36",True,True,True
35.36062566,128.6442132,CWB379000060,가곡마을,110309,2,2,57.5,"30, 33",True,True,True
35.36047848,128.6440662,CWB379000061,가곡마을,110310,2,2,83.0,"30, 33",True,True,True
35.35977944,128.6533502,CWB379000062,전촌,104646,3,3,55.67,"30, 33, 40",True,True,True
35.35963793,128.6534055,CWB379000063,전촌,104643,3,3,94.33,"30, 33, 40",True,True,True
35.36019977,128.5903038,CWB379000064,봉촌,112003,3,3,78.67,"11, 15, 21",True,True,True
35.36004045,128.5900744,CWB379000065,봉촌,112004,3,3,85.67,"11, 15, 21",True,True,True
35.35892331,128.6179722,CWB379000066,신목,119357,5,5,92.6,"11, 14, 15",True,True,True
35.35886691,128.6180841,CWB379000067,신목,630008,5,5,67.2,"11, 14, 15",True,True,True
35.35746019,128.7128277,CWB379000068,북모산마을,103714,5,5,74.4,"1, 31, 36",True,True,True
35.35887379,128.58497468,CWB379000069,소라,112001,3,3,80.67,"11, 15, 21",True,True,True
35.35875813,128.5850433,CWB379000070,소라,112002,1,1,95.0,11,True,True,True
35.35766314,128.6555278,CWB379000071,전촌입구,104641,3,3,95.33,"30, 33, 40",True,True,True
35.35771841,128.6556073,CWB379000072,전촌입구,104644,3,3,54.67,"30, 33, 40",True,True,True
35.35455276,128.7116116,CWB379000073,남모산,630009,4,4,73.0,"1, 31, 36",True,True,True
35.35453594,128.7117577,CWB379000074,남모산,630010,5,5,80.6,"1, 2, 31",True,True,True
35.35513841,128.6549557,CWB379000075,원봉강,104639,4,4,99.0,"30, 33, 36",True,True,True
35.35502489,128.6551802,CWB379000076,원봉강,104642,4,4,49.0,"30, 33, 36",True,True,True
35.35392758,128.6666612,CWB379000077,용연입구,106801,4,4,109.5,"31, 32, 41",True,True,True
35.35381102,128.6663791,CWB379000078,용연입구,106802,4,4,62.0,"31, 32, 41",True,True,True
35.35384797,128.6695115,CWB379000079,용연마을,106803,4,4,108.5,"31, 32, 41",True,True,True
35.35372957,128.6695323,CWB379000080,용연마을,106804,4,4,63.0,"31, 32, 41",True,True,True
35.35461579,128.6102577,CWB379000081,북면온천,119356,5,5,64.2,"11, 14, 15",True,True,True
35.35463086,128.6099733,CWB379000082,북면온천,119355,5,5,95.6,"11, 14, 15",True,True,True
35.35334524,128.6091275,CWB379000083,북면농협,119354,14,15,68.6,"10, 11, 12",True,True,True
35.35370548,128.63451585,CWB379000084,월계,114403,2,2,59.0,"30, 33",True,True,True
35.35364435,128.63470437,CWB379000085,월계,114404,2,2,81.5,"30, 33",True,True,True
35.35231786,128.676614,CWB379000086,산남,106807,5,5,105.4,"31, 32, 36",True,True,True
35.35220953,128.6765824,CWB379000087,산남,106808,5,5,60.0,"31, 32, 36",True,True,True
35.35301345,128.6088169,CWB379000088,북면농협,119353,14,14,81.73,"10, 11, 12",True,True,True
35.35196515,128.6807519,CWB379000089,죽동마을,106809,5,5,94.0,"32, 36, 41",True,True,True
