adm9,yyyymm,pop_total
481215200,202312,25568.0
481215200,202401,25533.0
481215200,202402,25481.0
481215200,202403,25402.0
481215200,202404,25422.0
481215200,202405,25343.0
481215200,202406,25257.0
481215200,202407,25184.0
481215200,202408,25106.0
481215200,202409,25043.0
481215200,202410,24988.0
481215200,202411,24939.0
481215200,202412,24886.0
481215300,202012,42402.0
481215300,202101,42245.0
481215300,202102,42094.0
481215300,202103,41960.0
481215300,202104,41822.0
481215300,202105,41677.0
481215300,202106,41657.0
481215300,202107,41561.0
481215300,202108,41509.0
481215300,202109,41496.0
481215300,202110,41487.0
481215300,202111,41439.0
481215300,202112,41362.0
481215300,202201,41289.0
481215300,202202,41227.0
481215300,202203,41124.0
481215300,202204,41039.0
481215300,202205,41035.0
481215300,202206,40976.0
481215300,202207,40884.0
481215300,202208,40838.0
481215300,202209,40760.0
481215300,202210,40693.0
481215300,202211,40661.0
481215300,202212,40556.0
481215300,202301,40549.0
481215300,202302,40447.0
481215300,202303,40363.0
481215300,202304,40260.0
481215300,202305,40154.0
481215300,202306,40111.0
481215300,202307,40055.0
481215300,202308,39961.0
481215300,202309,39894.0
481215300,202310,39764.0
481215300,202311,39687.0
481215300,202312,39576.0
481215300,202401,39443.0
481215300,202402,39344.0
481215300,202403,39264.0
481215300,202404,39202.0
481215300,202405,39090.0
481215300,202406,38917.0
481215300,202407,38783.0
481215300,202408,38695.0
481215300,202409,38616.0
481215300,202410,38519.0
481215300,202411,38927.0
481215300,202412,39104.0
481215400,202012,30336.0
481215400,202101,30277.0
481215400,202102,30235.0
481215400,202103,30258.0
481215400,202104,30238.0
481215400,202105,30165.0
481215400,202106,30155.0
481215400,202107,30129.0
481215400,202108,30108.0
481215400,202109,30125.0
481215400,202110,30102.0
481215400,202111,30066.0
481215400,202112,30081.0
481215400,202201,30078.0
481215400,202202,30128.0
481215400,202203,30169.0
481215400,202204,30104.0
481215400,202205,30080.0
481215400,202206,30093.0
481215400,202207,30059.0
481215400,202208,30062.0
481215400,202209,30047.0
481215400,202210,30045.0
481215400,202211,30000.0
481215400,202212,29978.0
481215400,202301,29945.0
481215400,202302,29913.0
481215400,202303,30000.0
481215400,202304,30121.0
481215400,202305,30137.0
481215400,202306,30147.0
481215400,202307,30109.0
481215400,202308,30060.0
481215400,202309,30085.0
481215400,202310,30073.0
481215400,202311,30036.0
481215400,202312,29939.0
481215400,202401,29834.0
481215400,202402,29767.0
481215400,202403,29804.0
481215400,202404,29856.0
481215400,202405,29806.0
481215400,202406,29690.0
481215400,202407,29592.0
481215400,202408,29567.0
481215400,202409,29509.0
481215400,202410,29441.0
481215400,202411,29366.0
481215400,202412,29274.0
481235100,202012,41935.0
481235100,202101,41830.0
481235100,202102,41739.0
481235100,202103,41519.0
481235100,202104,41492.0
481235100,202105,41441.0
481235100,202106,41406.0
481235100,202107,41395.0
481235100,202108,41320.0
481235100,202109,41229.0
481235100,202110,41134.0
481235100,202111,41073.0
481235100,202112,41027.0
481235100,202201,40954.0
481235100,202202,40811.0
481235100,202203,40658.0
481235100,202204,40504.0
481235100,202205,40478.0
481235100,202206,40448.0
481235100,202207,40405.0
481235100,202208,40330.0
481235100,202209,40286.0
481235100,202210,40193.0
481235100,202211,40158.0
481235100,202212,40120.0
481235100,202301,40124.0
481235100,202302,40091.0
481235100,202303,40035.0
481235100,202304,40012.0
481235100,202305,39978.0
481235100,202306,40027.0
481235100,202307,40005.0
481235100,202308,39982.0
481235100,202309,39947.0
481235100,202310,39904.0
481235100,202311,39888.0
481235100,202312,39890.0
481235100,202401,39758.0
481235100,202402,39677.0
481235100,202403,39621.0
481235100,202404,39568.0
481235100,202405,39464.0
481235100,202406,39244.0
481235100,202407,39138.0
481235100,202408,39055.0
481235100,202409,39031.0
481235100,202410,38974.0
481235100,202411,38964.0
481235100,202412,39004.0
481235150,202012,0.0
481235150,202101,0.0
481235150,202102,0.0
481235150,202103,0.0
481235150,202104,0.0
481235150,202105,0.0
481235150,202106,0.0
481235150,202107,29654.0
481235150,202108,29619.0
481235150,202109,29634.0
481235150,202110,29552.0
481235150,202111,29498.0
481235150,202112,29453.0
481235150,202201,29368.0
481235150,202202,29354.0
481235150,202203,29246.0
481235150,202204,29006.0
481235150,202205,28809.0
481235150,202206,28688.0
481235150,202207,28568.0
481235150,202208,28413.0
481235150,202209,28167.0
481235150,202210,27833.0
481235150,202211,27469.0
481235150,202212,27350.0
481235150,202301,27294.0
481235150,202302,27200.0
481235150,202303,27181.0
481235150,202304,27180.0
481235150,202305,27137.0
481235150,202306,27122.0
481235150,202307,27078.0
481235150,202308,27018.0
481235150,202309,26977.0
481235150,202310,26956.0
481235150,202311,26888.0
481235150,202312,26854.0
481235150,202401,26847.0
481235150,202402,26731.0
481235150,202403,26749.0
481235150,202404,26687.0
481235150,202405,26626.0
481235150,202406,26523.0
481235150,202407,26483.0
481235150,202408,26436.0
481235150,202409,26378.0
481235150,202410,26330.0
481235150,202411,26275.0
481235150,202412,26167.0
481235200,202012,22953.0
481235200,202101,22937.0
481235200,202102,22889.0
481235200,202103,22907.0
481235200,202104,22910.0
481235200,202105,22978.0
481235200,202106,22950.0
481235200,202107,34547.0
481235200,202108,34526.0
481235200,202109,34613.0
481235200,202110,34603.0
481235200,202111,34546.0
481235200,202112,34507.0
481235200,202201,34537.0
481235200,202202,34499.0
481235200,202203,34537.0
481235200,202204,34535.0
481235200,202205,34507.0
481235200,202206,34518.0
481235200,202207,34549.0
481235200,202208,34556.0
481235200,202209,34556.0
481235200,202210,34567.0
481235200,202211,34586.0
481235200,202212,34573.0
481235200,202301,34514.0
