구명,demand_inc_12m,demand_inc_18m,supply_12m,supply_18m,gap_12m,gap_18m,기준월
마산합포구,-1401.2777777777785,-2101.916666666668,0.0,0.0,-1401.2777777777785,-2101.916666666668,2024-12
마산회원구,-2151.3055555555547,-3226.958333333332,0.0,0.0,-2151.3055555555547,-3226.958333333332,2024-12
성산구,-329.1388888888905,-493.70833333333576,2858.0,2858.0,-3187.1388888888905,-3351.7083333333358,2024-12
의창구,-4715.583333333333,-7073.375,0.0,0.0,-4715.583333333333,-7073.375,2024-12
진해구,-1981.5833333333333,-2972.375,338.0,1206.0,-2319.583333333333,-4178.375,2024-12
