gu_nm,yyyymm_base,demand_inc_12m_hh,demand_inc_18m_hh,supply_12m,supply_18m,gap_12m_hh,gap_18m_hh
마산합포구,202412,-514.3142766801933,-763.6381224961191,0.0,0.0,-514.3142766801933,-763.6381224961191
마산회원구,202412,-494.0864167334477,-732.0538514802383,0.0,0.0,-494.0864167334477,-732.0538514802383
성산구,202412,-691.5298383443865,-1029.165236343213,1429.0,1429.0,-2120.5298383443865,-2458.165236343213
의창구,202412,-751.541725935613,-1113.70914943809,0.0,0.0,-751.541725935613,-1113.70914943809
진해구,202412,-670.2368456205497,-993.4967649066433,169.0,603.0,-839.2368456205497,-1596.4967649066434
