lawd_cd,deal_ym,housing_type,aptNm,exclusive_m2,deposit_manwon,rent_manwon,deposit_per_m2_manwon,rent_per_m2_manwon,buildYear,dong,roadAddr
48121,202501,APT,힐스테이트아티움시티,84.6211,38500.0,0.0,454.96926889392836,0.0,2020.0,팔용동,
48121,202501,APT,창원무동STX칸2차,84.99,1000.0,75.0,11.766090128250383,0.8824567596187788,2015.0,북면 무동리,
48121,202501,APT,창원포레힐스데시앙,59.8318,5000.0,65.0,83.56760117529474,1.0863788152788316,2025.0,북면 감계리,
48121,202501,APT,창원포레힐스데시앙,72.9082,10000.0,50.0,137.15878323700215,0.6857939161850108,2025.0,북면 감계리,
48121,202501,APT,창원포레힐스데시앙,84.8941,3000.0,100.0,35.338144818073346,1.1779381606024448,2025.0,북면 감계리,
48121,202501,APT,제일파크,59.945,2000.0,45.0,33.36391692384686,0.7506881307865544,1992.0,도계동,
48121,202501,APT,벽산블루밍B,59.97,12000.0,47.0,200.1000500250125,0.783725195931299,1999.0,팔용동,
48121,202501,APT,창원포레힐스데시앙,84.8941,15000.0,0.0,176.69072409036673,0.0,2025.0,북면 감계리,
48121,202501,APT,창원포레힐스데시앙,72.9082,22000.0,0.0,301.74932312140476,0.0,2025.0,북면 감계리,
48121,202501,APT,창원감계푸르지오,72.8583,21000.0,0.0,288.23071633568173,0.0,2017.0,북면 감계리,
48121,202501,APT,휴먼빌1단지,84.994,1000.0,75.0,11.765536390804057,0.8824152293103042,2013.0,북면 무동리,
48121,202501,APT,창원무동센텀파라디아,59.9932,17900.0,0.0,298.3671482768047,0.0,2018.0,북면 무동리,
48121,202501,APT,창원감계힐스테이트4차,68.9762,22050.0,0.0,319.67548226779667,0.0,2017.0,북면 감계리,
48121,202501,APT,창원의봄,69.2909,10000.0,0.0,144.31909529245544,0.0,2017.0,북면 무동리,
48121,202501,APT,창원무동센텀파라디아,84.9921,21000.0,0.0,247.0817876014359,0.0,2018.0,북면 무동리,
48121,202501,APT,청구파크빌라,57.49,6900.0,10.0,120.02087319533831,0.17394329448599755,1995.0,도계동,
48121,202501,APT,창원포레힐스데시앙,72.9082,15000.0,30.0,205.73817485550325,0.4114763497110065,2025.0,북면 감계리,
48121,202501,APT,보람,56.46,3000.0,40.0,53.13496280552604,0.7084661707403471,1996.0,소답동,
48121,202501,APT,금아,84.18,15000.0,10.0,178.18959372772628,0.11879306248515085,1989.0,도계동,
48121,202501,APT,춘광2,57.92,1000.0,30.0,17.265193370165747,0.5179558011049724,1995.0,북면 신촌리,
48121,202501,APT,창원무동센텀파라디아,59.9932,11000.0,35.0,183.35411346619284,0.5833994519378862,2018.0,북면 무동리,
48121,202501,APT,힐스테이트아티움시티,84.8605,42000.0,0.0,494.92991438890886,0.0,2020.0,팔용동,
48121,202501,APT,창원무동STX칸1차,84.99,14000.0,21.0,164.72526179550536,0.24708789269325804,2015.0,북면 무동리,
