park_id,area_m2,cent_lat,cent_lon,centroid_wkt
126011,33147.510926646115,35.09496709903043,128.8476588221882,POINT (1122837.718196 1678590.278476)
148040,1609540.4539269146,35.10518311499756,128.71034394434946,POINT (1110307.170977 1679562.632051)
226011,18247.775241408646,35.138332086147074,128.8197475184208,POINT (1120229.737769 1683365.762705)
226012,107931.39982531653,35.15131998197312,128.81583213436107,POINT (1119853.976238 1684801.511775)
226100,12826.152798769801,35.12628578271803,128.8505393273456,POINT (1123053.18983 1682067.349461)
226180,8237.350667074867,35.15346765144365,128.8349765561543,POINT (1121594.676902 1685062.938142)
226200,22325.81371877998,35.14165628979745,128.8484374548378,POINT (1122838.574413 1683769.482766)
226220,24862.675894943204,35.153717729986425,128.8172766009219,POINT (1119982.034111 1685069.184524)
226280,40355.51606221038,35.15234217432511,128.82701375876363,POINT (1120871.016065 1684928.409305)
226300,19317.76508638741,35.147844209044976,128.82142813002312,POINT (1120368.843586 1684422.772893)
226310,29378.154508468524,35.136163870035844,128.82001223006912,POINT (1120257.043747 1683125.608416)
226320,11693.509668162029,35.140796121876356,128.8279828737341,POINT (1120976.382474 1683649.025799)
248070,13468.302668776241,35.11712503802611,128.782985427323,POINT (1116910.807439 1680969.940269)
248080,37508.52076158566,35.37179135138723,128.47799537147733,POINT (1088839.585734 1708898.497776)
248110,28441.26903489887,35.13517046104034,128.47991183264944,POINT (1089272.762514 1682657.470936)
248150,3396.2980148435818,35.11216017471668,128.72655371682006,POINT (1111775.029749 1680354.506477)
248240,6612.012316537551,35.21561946097176,128.83416073065789,POINT (1121427.857763 1691955.184184)
248320,49526.62453108401,35.048987536516115,128.47657600152192,POINT (1089062.513943 1673096.505599)
248360,218641.216883615,35.1178450794839,128.58486317743782,POINT (1098855.435789 1680835.158756)
248380,6599.140047322066,35.3838931699689,128.72606096752992,POINT (1111357.877372 1710491.669287)
248460,60389.30361257052,35.15015232020892,128.3916529466059,POINT (1081217.009242 1684243.423129)
248510,55779.63633511738,35.316887176216056,128.74375904329602,POINT (1113058.755014 1703080.010599)
248540,10767.001070477023,35.306987002420875,128.3629549723204,POINT (1078451.831974 1701614.070482)
248580,2685.8058795531974,35.269527183072526,128.49890655975588,POINT (1090853.522642 1697575.585033)
248640,2449.54412189875,35.28917447461762,128.79915643128024,POINT (1118134.990233 1700070.973846)
248650,7856.804006409891,35.338779233328545,128.46870314411987,POINT (1088031.289985 1705228.887875)
248680,2573.3523917663574,35.18462291293994,128.7077897387802,POINT (1109967.449463 1688370.254969)
248720,36573.57707692206,35.27911920556362,128.7340376194665,POINT (1112227.163124 1698880.105735)
248800,5824.103078680013,35.206099075255516,128.64994246326398,POINT (1104672.739116 1690689.664656)
248830,2381.4106849312584,35.26240251350766,128.76987689854957,POINT (1115510.406006 1697067.194212)
248850,59668.25046702004,35.209593922014605,128.8415233751828,POINT (1122107.029975 1691295.914468)
248880,15027.595778993631,35.3155924058528,128.7592043364758,POINT (1114464.645212 1702954.13849)
248890,26420.062475245933,35.25753481710028,128.82514190505677,POINT (1120544.920282 1696593.05136)
248910,22092.341376270226,35.25996495865501,128.8124252753597,POINT (1119384.486543 1696847.206436)
248920,16302.823483101032,35.2880356781242,128.81023522351333,POINT (1119144.135326 1699957.924224)
248930,10213.66437531929,35.328340074311505,128.53805781750313,POINT (1094346.279162 1704134.947509)
248950,15296.498942810462,35.266887068907096,128.37090432914488,POINT (1079213.58557 1697173.077378)
248960,28475.12427390934,35.27129056522054,128.83338584943965,POINT (1121274.394449 1698128.762842)
248A00,15864.084562950395,35.31415452514655,128.60208006523632,POINT (1100182.820338 1702624.494648)
248A10,7098.96851747326,35.33687310767627,128.5336723921499,POINT (1093937.81 1705077.164398)
248A50,2688.1247099900206,35.29213770745143,128.79411452067797,POINT (1117672.203344 1700393.633694)
248A70,3539.10189570528,35.089323845610004,128.79474421205333,POINT (1118022.451746 1677900.440966)
248AC0,6397.284287943669,35.356559007967654,128.51128433523863,POINT (1091880.866215 1707239.491487)
248AF0,17972.857501608505,35.30480377486363,128.50483327684935,POINT (1091352.952579 1701493.456029)
248AG0,15497.753560692743,35.32235214386618,128.74587594978834,POINT (1113243.572723 1703688.552078)
248AH0,23113.048882108593,35.10707519622896,128.7197046319368,POINT (1111157.750814 1679782.882507)
248AJ0,1749.0137827028343,35.20297628033272,128.6547755627605,POINT (1105116.713572 1690348.425081)
248AK0,1655.797124518605,35.222856572350175,128.83820515754607,POINT (1121785.167835 1692762.806793)
248AM0,5005.318712292079,35.23138331504865,128.7747168682912,POINT (1115994.86224 1693632.501092)
248AW0,38233.30575280997,35.36043777979345,128.4585917532912,POINT (1087089.13064 1707622.049228)
248AX0,25132.677443149085,35.255552558538085,128.83201522290994,POINT (1121173.157917 1696381.568317)
248B20,69028.17295541729,35.26098416691598,128.53504700919396,POINT (1094150.60545 1696661.797672)
248B60,136490.89992144037,35.28262487378677,128.72432863427403,POINT (1111339.35342 1699257.976177)
248B90,953317.5795928432,35.03214741986466,128.48576265323769,POINT (1089918.803954 1671237.133543)
348010,9724.819957817253,35.15864797139057,128.5506769743162,POINT (1095692.416384 1685327.005405)
348020,7502.892315056187,35.18899199252641,128.57093996779994,POINT (1097501.73961 1688712.016803)
448050,9899.106740216115,35.28637474748547,128.7676265779913,POINT (1115271.725733 1699723.345599)
448070,4454.09067874359,35.14145140490166,128.47773049364588,POINT (1089067.187518 1683352.100089)
448110,96.71145635645205,35.39150563152816,128.72335845577825,POINT (1111101.965981 1711332.941676)
