station_id,station_name,lat,lon,nearest_hub_id,nearest_hub_name,dist_km
CWB379005402,KB국민은행,35.23332675,128.50447141,CWB379001246,경남데파트,6.742899243880098
CWB379005412,녹수아파트,35.13745312,128.71004218,CWB379001114,자유무역지역정문,14.059839438183474
CWB379005413,대산중학교,35.33339007,128.70910721,CWB379000951,신세계백화점,16.878007703023904
CWB379005414,마창자동차운전전문학원,35.2481047,128.60461746,CWB379000951,신세계백화점,3.6162230479093327
CWB379005415,신항 서문입구,35.08300057,128.80183532,CWB379001114,자유무역지역정문,24.382950016929644
CWB379005416,신항 서문입구,35.08326481,128.80164104,CWB379001114,자유무역지역정문,24.351572129319784
CWB379005417,지앤지,35.08619165,128.80662824,CWB379001114,자유무역지역정문,24.542236838074267
CWB379005418,동방물류센터,35.08591509,128.81879484,CWB379001114,자유무역지역정문,25.487252653729055
CWB379005419,세방물류,35.08593576,128.82551343,CWB379001114,자유무역지역정문,26.004513238508384
CWB379005420,세방물류,35.08621274,128.82567309,CWB379001114,자유무역지역정문,26.00067824455939
CWB379005421,경제자유구역청사거리,35.08878363,128.83862986,CWB379001114,자유무역지역정문,26.868903545523267
CWB379005422,경제자유구역청사거리,35.08911217,128.83865642,CWB379001114,자유무역지역정문,26.852819130553392
CWB379005423,경제자유구역청,35.08557791,128.84038885,CWB379001114,자유무역지역정문,27.186516158887443
CWB379005424,경제자유구역청,35.08578256,128.8399686,CWB379001114,자유무역지역정문,27.141956636865924
CWB379005429,욱곡,35.09359146,128.56884951,CWB379001418,"경남대,서중학교",9.564932151043417
CWB379005430,욱곡,35.09349763,128.56878741,CWB379001418,"경남대,서중학교",9.574721390256759
CWB379005431,내포리,35.10058947,128.58549069,CWB379001418,"경남대,서중학교",9.085437059315316
CWB379005432,내포리,35.10069187,128.58541317,CWB379001418,"경남대,서중학교",9.072575088760125
CWB379005433,백령고개,35.10607197,128.58647424,CWB379001418,"경남대,서중학교",8.528434267141298
CWB379005434,백령고개,35.10594754,128.58720114,CWB379001418,"경남대,서중학교",8.561794311009267
CWB379005435,지개리입구,35.28572153,128.61091006,CWB379000951,신세계백화점,7.7293980398731
CWB379005436,상포,35.32300764,128.71328705,CWB379000951,신세계백화점,16.294804917393378
CWB379005437,상포3반,35.31850462,128.71307659,CWB379000951,신세계백화점,15.930719858107052
CWB379005438,난포 소골,35.08309124,128.59531282,CWB379001418,"경남대,서중학교",11.20301046060271
CWB379005439,난포 소골,35.08315201,128.59548943,CWB379001418,"경남대,서중학교",11.201450811224166
CWB379005440,유산,35.12990605,128.5727766,CWB379001418,"경남대,서중학교",5.643696888691169
CWB379005441,유산,35.13034705,128.57282348,CWB379001418,"경남대,서중학교",5.59714870094694
