adm_cd,mean_dist_km,p10_dist_km,p90_dist_km,n_stops
3811111,13.376977086066317,9.293467949536616,17.05083140437341,158
3811131,12.31938852993455,8.50171512505886,16.906384222546517,221
3811132,17.539890812249553,15.230567153094071,19.27149649454721,112
3811151,5.370963877593561,4.472303855535734,6.188632985356649,63
3811152,5.039883461016933,4.22005237710205,6.296489231196884,99
3811153,6.235543182136103,5.967363085394364,6.5272905818520615,40
3811154,8.801544953242134,6.943219235514922,10.270287868036114,69
3811251,7.51692527379607,6.921837912178434,8.109665723861239,24
3811252,7.860587081395576,6.7059098950194524,8.554616963097859,41
3811253,8.95039810448697,8.509043343804537,9.553623863849898,9
3811254,10.59796208801209,9.871784707241492,11.285798998415618,45
3811255,10.299387742617403,9.747756565336775,10.84691385085181,36
3811256,10.795716272620757,9.745475511902887,12.01476172432396,62
3811257,4.7420660837587665,1.9783975983730955,7.1000430069781695,98
3811258,9.261554237923187,8.621241928750534,9.906206672305668,39
3811331,9.756766707294819,6.54177968095873,13.235958811254115,149
3811332,9.049709535438236,6.1250686607747244,11.128140688948655,72
3811333,10.145083106477884,8.048047338141833,11.823842697002886,108
3811334,15.652376084598323,13.605200570082678,17.45939865464414,126
3811351,3.2663978886471114,1.5169157696012223,4.855309631181936,54
3811352,2.481613546472477,1.4485534441676682,3.4700696757773333,21
3811353,0.47295794959982645,0.23197134026992022,0.8033419952015588,39
3811354,0.33903366003706575,0.0,0.7451902035466083,19
3811357,0.5399432170500814,0.16099740427909093,0.9001530497699713,16
3811358,0.5851816017889185,0.3474337214537932,0.7755358684529482,15
3811364,0.2971800517524438,0.0,0.5365692023222945,10
3811365,0.3373163280258145,0.0,0.707007824987228,10
3811366,0.15847067568744594,0.0,0.34193285945739316,19
3811367,0.31877006492841164,0.0,0.6563977862139205,30
3811368,1.1551082436850624,0.7703119330388647,1.6371596850517671,17
3811411,6.8970959147599835,5.290409105166813,8.327795464567632,161
3811451,1.3332844619153126,1.0263878595091842,1.5529642043435423,13
3811452,1.891082766372005,1.7250479090323547,2.0648124703374267,11
3811455,3.8797803592926505,2.8579009113664644,4.7732742373438555,24
3811456,1.6234517091489413,1.4218853000466625,1.8703435482773627,11
3811457,0.7894750155926712,0.4193291888436707,1.2423883740490247,23
3811458,2.6497389839197854,2.1989034316310043,2.993624371013211,16
3811459,2.4584466603271187,1.9806644084282952,2.88517512860642,16
3811460,3.8203292971047333,3.244773194444183,4.308631550862854,25
3811461,3.2988302522397985,2.785655181693255,3.6929929989796944,15
3811462,1.5380346992970646,0.8236237968677148,2.409703636462391,17
3811463,1.9222761343281842,1.5324289296858407,2.3387131018258023,20
3811554,9.059308031836146,8.409520610752406,9.59287972405254,25
3811555,10.420662878087164,10.192110813274988,10.64041022659161,15
3811556,10.87674727916638,10.42078879080319,11.39332513667717,23
3811557,11.44609069566402,11.204793222694612,11.601785046608796,6
3811558,12.349618404304927,11.860031628787715,12.892660521908224,12
3811559,12.178536953268381,11.826513504243945,12.609665279734344,13
3811560,13.35213828062649,13.087340369490121,13.793675734925207,24
3811561,13.29414009653829,12.958889652738895,13.546286647665367,19
3811562,14.545672501165962,13.847312606717948,15.559264334046587,48
3811563,18.46443414541859,16.56209199316192,20.334971018699477,81
3811564,20.779671658904387,19.883569276359502,21.82040993999764,46
3811565,24.28738489842086,23.11291821936845,25.402841712752885,83
3811566,9.99374388013576,9.311852052254364,10.978473930921231,47
