정류소ID,서비스ID,정류소명,방면,유형,설치유형,관할관청,X좌표,Y좌표,방위각,동코드,수정일,생성일
379003345,104716,STX칸2차아파트,휴먼빌3차아파트 방면,0,,379,128.5805745,35.31617493,0,북면,2023.5.26 17:48,2023.5.26 17:48
379003463,630357,㈜HND로지스틱스,페어허브물류 방면,0,,379,128.7690853,35.09400104,0,남문동,2024.9.6 16:02,2023.5.26 17:48
379003442,502811,㈜대륜기업,,0,,379,128.7787869,35.115748,0,남양동,2023.5.26 17:48,2023.5.26 17:48
379002372,407005,㈜동방,봉암우체국 방면,0,,379,128.6001026,35.21766236,0,봉암동,2023.5.26 17:48,2023.5.26 17:48
379002373,407006,㈜동방,봉암공단 입구 방면,0,,379,128.6002837,35.21791973,0,봉암동,2023.7.5 16:43,2023.5.26 17:48
379003443,502812,㈜세웅전기,,0,,379,128.7791328,35.11560421,0,남양동,2023.5.26 17:48,2023.5.26 17:48
379000060,110309,가곡마을,북면연동 방면,0,,379,128.6442132,35.36062566,0,동읍,2023.5.26 17:48,2023.5.26 17:48
379000061,110310,가곡마을,본포입구 방면,0,,379,128.6440662,35.36047848,0,동읍,2023.5.26 17:48,2023.5.26 17:48
379000150,118004,가술,대산초등학교 방면,0,,379,128.7090879,35.33532932,0,대산면,2024.9.6 14:23,2023.5.26 17:48
379000153,118001,가술,채동마을 방면,0,,379,128.7088864,35.33516263,0,대산면,2024.9.6 14:23,2023.5.26 17:48
379005745,640564,가야대역,,0,,385,128.8653318,35.26691594,,,2024.9.6 15:09,2023.5.26 17:48
379005746,640565,가야대역,,0,,385,128.8651342,35.2669235,,,2024.9.6 15:08,2023.5.26 17:48
379000224,116501,가월마을입구,가월윗담 방면,0,,379,128.6750688,35.30386562,0,동읍,2024.9.6 14:35,2023.5.26 17:48
379003113,116403,가월윗담,주남삼거리 방면,0,,379,128.67292,35.3026771,0,동읍,2023.5.26 17:48,2023.5.26 17:48
379003114,116404,가월윗담,가월입구 방면,0,,379,128.672971,35.30256926,0,동읍,2023.5.26 17:48,2023.5.26 17:48
379000229,116502,가월입구,주남저수지 방면,0,,379,128.6745616,35.30344898,0,동읍,2024.9.6 14:24,2023.5.26 17:48
379001113,218813,가음정본동,창원남중 방면,0,,379,128.6875982,35.20813443,0,가음동,2024.9.6 14:35,2023.5.26 17:48
379001158,218815,가음정사거리,가음은아아파트 방면,0,,379,128.6926019,35.20526734,0,가음정동,2024.2.23 13:52,2023.5.26 17:48
379001163,218822,가음정사거리,남산버스정류소 방면,0,,379,128.6926844,35.20475024,0,가음정동,2024.2.23 13:51,2023.5.26 17:48
379006105,114268,가음정시장,장미공원 방면,0,,379,128.6957066,35.21002288,,,2024.9.6 14:53,2024.4.16 14:16
379006106,114269,가음정시장(더샵센트럴파크),상남도서관 방면,0,,379,128.6954459,35.20950157,,,2024.9.6 14:36,2024.4.16 14:16
379002711,500501,가주동,용재 방면,0,,379,128.8373885,35.10351548,0,가주동,2023.5.26 17:48,2023.5.26 17:48
379002713,630220,가주동시내버스회차지,한마음상회 방면,0,,379,128.8384582,35.1120361,0,가주동,2023.5.26 17:48,2023.5.26 17:48
379005541,518162,가주동시내버스회차지,대청가든 방면,0,,,128.8382853,35.11201304,,,2023.5.26 17:48,2023.5.26 17:48
379000151,106819,가촌,가촌마을 방면,0,,379,128.7017388,35.33541892,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379000152,106820,가촌,대산119안전센터 방면,0,,379,128.7016911,35.33533196,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379000148,106818,가촌마을,가촌 방면,0,,379,128.6976921,35.33629113,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379000149,106817,가촌마을,대방 방면,0,,379,128.6978382,35.33627111,0,대산면,2023.5.29 10:38,2023.5.26 17:48
379005471,106829,가촌마을,대방 방면,0,,379,128.6970764,35.33801378,,,2024.9.6 14:36,2023.5.26 17:48
379005556,300642,가포LH1단지,,0,,,128.5835714,35.15780093,,,2023.5.26 17:48,2023.5.26 17:48
379005807,300643,가포LH1단지,종점,0,,,128.5835754,35.15772202,,,2023.7.18 15:36,2023.7.14 14:24
379001461,300624,가포고등학교,국립마산병원 방면,0,,379,128.5709774,35.16815686,0,가포동,2023.5.26 17:48,2023.5.26 17:48
379001462,300623,가포고등학교,가포유원지 방면,0,,379,128.5710493,35.16797798,0,가포동,2023.5.26 17:48,2023.5.26 17:48
379001482,300619,가포동,가포초등학교 방면,0,,379,128.5759211,35.16242044,0,가포동,2024.10.21 13:40,2023.5.26 17:48
379001483,300620,가포동,가포유원지 방면,0,,379,128.5758578,35.16212611,0,가포동,2024.10.21 13:39,2023.5.26 17:48
379001514,300615,가포본동,가포송신소 방면,0,,379,128.5819064,35.15484182,0,가포동,2023.5.26 17:48,2023.5.26 17:48
379001516,300616,가포본동,가포초등학교 방면,0,,379,128.5803613,35.15594799,0,가포동,2023.5.26 17:48,2023.5.26 17:48
379001559,300614,가포송신소,가포본동 방면,0,,379,128.5867603,35.15180381,0,가포동,2023.5.26 17:48,2023.5.26 17:48
379001563,300613,가포송신소,날개 방면,0,,379,128.5867968,35.15148958,0,가포동,2023.5.26 17:48,2023.5.26 17:48
