station_id,headway_mean_s_num,headway_cv_num,w_sum,n_routes_cov,headway_mean_s,headway_cv,BPH
CWB379000951,4872.0,2.202,60,10,81.2,0.036699999999999997,44.33497536945813
CWB379001031,4860.6,2.3099999999999996,60,10,81.01,0.03849999999999999,44.4389581533144
CWB379001107,4711.8,2.196,58,10,81.23793103448276,0.03786206896551724,44.31427479943971
CWB379001114,4347.0,8.018,46,9,94.5,0.17430434782608697,38.095238095238095
CWB379001139,4544.4,2.1900000000000004,56,10,81.14999999999999,0.03910714285714286,44.362292051756015
CWB379001173,4557.0,2.298,56,10,81.375,0.041035714285714286,44.23963133640553
CWB379001224,4811.4,4.644,58,10,82.9551724137931,0.08006896551724138,43.39693228582118
CWB379001228,3379.6,4.356000000000001,40,7,84.49,0.10890000000000002,42.6085927328678
CWB379001246,4823.0,4.91,58,10,83.15517241379311,0.08465517241379311,43.292556500103665
CWB379001284,4794.0,4.62,58,10,82.65517241379311,0.07965517241379311,43.554443053817266
CWB379001312,4482.2,6.648,52,10,86.19615384615385,0.12784615384615383,41.76520458703315
CWB379001313,4923.8,6.812,58,10,84.89310344827587,0.11744827586206898,42.406271578861855
CWB379001328,4900.2,7.063999999999999,58,10,84.48620689655172,0.12179310344827585,42.61050569364516
CWB379001331,4221.8,5.256,50,10,84.436,0.10512,42.63584253162158
CWB379001344,3884.2,4.784,46,9,84.4391304347826,0.104,42.63426188146852
CWB379001347,4942.0,7.168,58,10,85.20689655172414,0.12358620689655173,42.25010117361392
CWB379001376,4807.6,4.324,58,10,82.8896551724138,0.07455172413793103,43.43123387969049
CWB379001392,4828.6,4.960000000000001,58,10,83.25172413793103,0.08551724137931035,43.2423476784161
CWB379001394,3814.0,2.776,46,10,82.91304347826087,0.06034782608695652,43.41898269533298
CWB379001418,4003.2,8.36,44,9,90.98181818181818,0.18999999999999997,39.568345323741006
