adm_cd,adm_nm,area_km2,n_routes,stops_density,routes_density,mean_dist_km,p10_dist_km,p90_dist_km,BPH_mean,BPH_median,headway_mean_s_mean,headway_mean_s_median,headway_cv_mean,headway_cv_median,n_stops_with_b1b2,adm_key,tot_2024_12,m_2024_12,f_2024_12,youth_20_34,youth_share_2034
3811111,경상남도 창원시의창구 동읍,59.25491204336564,874,2.6664456084985475,14.74983203688437,13.376977086066317,9.293467949536616,17.05083140437341,,,,,,,0,경상남도창원시의창구동읍,18279.0,9334.0,8945.0,2520.0,0.137863121614968
3811131,경상남도 창원시의창구 북면,74.52859082448066,1076,2.9653049595485896,14.437412382236571,12.31938852993455,8.50171512505886,16.906384222546517,,,,,,,0,경상남도창원시의창구북면,42941.0,21516.0,21425.0,5273.0,0.1227963950536783
3811132,경상남도 창원시의창구 대산면,33.03283322892623,392,3.3905659627743865,11.866980869710352,17.539890812249553,15.230567153094071,19.27149649454721,,,,,,,0,경상남도창원시의창구대산면,6674.0,3382.0,3292.0,686.0,0.1027869343721906
3811151,경상남도 창원시의창구 의창동,7.624926160095271,537,8.262375094162595,70.42691151690974,5.370963877593561,4.472303855535734,6.188632985356649,,,,,,,0,경상남도창원시의창구의창동,48537.0,24413.0,24124.0,8299.0,0.1709829614520881
3811152,경상남도 창원시의창구 팔룡동,14.60709376783383,739,6.777528889285777,50.59185706244635,5.039883461016933,4.22005237710205,6.296489231196884,,,,,,,0,경상남도창원시의창구팔룡동,24886.0,12677.0,12209.0,5086.0,0.204371936028289
3811153,경상남도 창원시의창구 명곡동,6.942610771079798,473,5.76152132373953,68.12998965321994,6.235543182136103,5.967363085394364,6.5272905818520615,,,,,,,0,경상남도창원시의창구명곡동,39104.0,19765.0,19339.0,7245.0,0.18527516366612112
3811154,경상남도 창원시의창구 봉림동,12.67388192465538,418,5.444267226899876,32.98121305571229,8.801544953242134,6.943219235514922,10.270287868036114,,,,,,,0,경상남도창원시의창구봉림동,29274.0,15517.0,13757.0,6933.0,0.23683131789301087
3811251,경상남도 창원시성산구 반송동,1.920091333922784,154,12.499405406391546,80.20451802434576,7.51692527379607,6.921837912178434,8.109665723861239,,,,,,,0,경상남도창원시성산구반송동,39004.0,19611.0,19393.0,6335.0,0.16241923905240488
3811252,경상남도 창원시성산구 중앙동,4.628941183732943,271,8.857317121263602,58.54470585030332,7.860587081395576,6.7059098950194524,8.554616963097859,,,,,,,0,경상남도창원시성산구중앙동,37763.0,20406.0,17357.0,9782.0,0.2590366231496438
3811253,경상남도 창원시성산구 상남동,1.182656923033811,145,7.609983778653869,122.60529421164568,8.95039810448697,8.509043343804537,9.553623863849898,,,,,,,0,경상남도창원시성산구상남동,26359.0,13114.0,13245.0,4908.0,0.1861982624530521
3811254,경상남도 창원시성산구 사파동,6.49294426497726,284,6.930600073487248,43.73978713045285,10.59796208801209,9.871784707241492,11.285798998415618,,,,,,,0,경상남도창원시성산구사파동,44547.0,22139.0,22408.0,8816.0,0.1979033380474555
3811255,경상남도 창원시성산구 가음정동,2.9425341841582875,420,12.234352346291535,142.7341107067346,10.299387742617403,9.747756565336775,10.84691385085181,,,,,,,0,경상남도창원시성산구가음정동,37505.0,18912.0,18593.0,7293.0,0.19445407279029464
3811256,경상남도 창원시성산구 성주동,25.958972139618385,349,2.3883842421239816,13.444291943568864,10.795716272620757,9.745475511902889,12.01476172432396,,,,,,,0,경상남도창원시성산구성주동,26113.0,13610.0,12503.0,4914.0,0.18818213150538046
3811257,경상남도 창원시성산구 웅남동,39.42762611742833,385,2.485566838544224,9.76472686570945,4.742066083758767,1.978397598373096,7.1000430069781695,,,,,,,0,경상남도창원시성산구웅남동,7031.0,3720.0,3311.0,1196.0,0.17010382591381026
3811258,경상남도 창원시성산구 용지동,2.643241717232573,296,14.754609745200412,111.98370473280312,9.261554237923187,8.621241928750534,9.906206672305668,,,,,,,0,경상남도창원시성산구용지동,26167.0,13175.0,12992.0,5093.0,0.19463446325524517
3811331,경상남도 창원시마산합포구 구산면,51.827881371856606,528,2.8749004600622063,10.18756673095869,9.75676670729482,6.54177968095873,13.235958811254116,,,,,,,0,경상남도창원시마산합포구구산면,3919.0,2022.0,1897.0,291.0,0.07425363613166625
3811332,경상남도 창원시마산합포구 진동면,33.782063572970074,431,2.1313085224790447,12.758249627617614,9.049709535438236,6.1250686607747244,11.128140688948656,,,,,,,0,경상남도창원시마산합포구진동면,11551.0,5896.0,5655.0,1257.0,0.10882174703488876
3811333,경상남도 창원시마산합포구 진북면,46.62302419210105,232,2.316452050707975,4.976082183002316,10.145083106477884,8.048047338141833,11.823842697002886,,,,,,,0,경상남도창원시마산합포구진북면,3110.0,1660.0,1450.0,234.0,0.0752411575562701
3811334,경상남도 창원시마산합포구 진전면,78.82440614278934,365,1.5984896831541326,4.630545510724273,15.652376084598323,13.605200570082678,17.45939865464414,,,,,,,0,경상남도창원시마산합포구진전면,3630.0,1815.0,1815.0,213.0,0.05867768595041322
3811351,경상남도 창원시마산합포구 현동,19.930236901809185,502,2.709450984754632,25.18785915457084,3.2663978886471114,1.5169157696012223,4.855309631181936,,,,,,,0,경상남도창원시마산합포구현동,13605.0,6742.0,6863.0,1476.0,0.10848952590959206
3811352,경상남도 창원시마산합포구 가포동,5.409628650990493,195,3.881967017487409,36.04683659095451,2.481613546472477,1.4485534441676682,3.4700696757773333,,,,,,,0,경상남도창원시마산합포구가포동,4982.0,2539.0,2443.0,1260.0,0.25291047771979125
