adm_cd_x,adm_nm,area_km2,n_routes,stops_density,routes_density,mean_dist_km,BPH_mean,headway_cv_mean,n_stops_from_density,adm7,adm_cd_y,small_proxy_share,youth_20_34,total_pop,small_share_ready,adm_nm_norm,bjd7,total_units,small_units,small_share_stock,small_share_final,sig5,sig_mean,small_share_final_vis,adm7_4812,sig_mean2,adm7_stock,total_units_stock2,small_units_stock2,small_share_stock2,small_share_final_new
3811354,경상남도 창원시마산합포구 문화동,1.8661360792897708,332,10.1814654412722,177.9077119211774,0.3390336600370657,43.364188084479856,0.0734722638680659,19,3811354,3811354,,,,,경상남도창원시마산합포구문화동,3811354,,,,,48123,,,4812354.0,,,,,,
3811357,경상남도 창원시마산합포구 완월동,2.487444373383868,171,6.432304646167396,68.74525590591405,0.5399432170500814,43.42349977696047,0.0821551724137931,16,3811357,3811357,,,,,경상남도창원시마산합포구완월동,3811357,,,,,48123,,,4812357.0,,,,,,
3811358,경상남도 창원시마산합포구 자산동,1.1752778126279246,26,12.76293982480615,22.122429029663994,0.5851816017889185,,,15,3811358,3811358,,,,,경상남도창원시마산합포구자산동,3811358,,,,,48123,,,4812358.0,,,,,,
3811364,경상남도 창원시마산합포구 합포동,0.5746745141103851,206,17.401154487388965,358.4637824402127,0.2971800517524438,41.2047564473389,0.1060832083958021,10,3811364,3811364,,,,,경상남도창원시마산합포구합포동,3811364,,,,,48123,,,4812364.0,,,,,,
3811365,경상남도 창원시마산합포구 산호동,0.8740368986015506,209,11.441164573257591,239.1203395810837,0.3373163280258145,44.38696676138626,0.0375999999999999,10,3811365,3811365,,,,,경상남도창원시마산합포구산호동,3811365,,,,,48123,,,4812365.0,,,,,,
3811366,경상남도 창원시마산합포구 반월중앙동,1.0975326423696536,464,17.31155800430464,422.7664691577554,0.1584706756874459,42.383697907707365,0.1166322900088417,19,3811366,3811366,,,,,경상남도창원시마산합포구반월중앙동,3811366,,,,,48123,,,4812366.0,,,,,,
3811367,경상남도 창원시마산합포구 오동동,1.7582690430536652,538,17.06223522419393,305.98275168721113,0.3187700649284116,43.65186210171263,0.0672779556650246,30,3811367,3811367,,,,,경상남도창원시마산합포구오동동,3811367,,,,,48123,,,4812367.0,,,,,,
3811368,경상남도 창원시마산합포구 교방동,2.9979627437968417,102,5.670517432271337,34.02310459362803,1.1551082436850624,,,17,3811368,3811368,,,,,경상남도창원시마산합포구교방동,3811368,,,,,48123,,,4812368.0,,,,,,
3811411,경상남도 창원시마산회원구 내서읍,56.291028810809806,894,2.860136035905645,15.881749168320786,6.897095914759984,,,161,3811411,3811411,,,,,경상남도창원시마산회원구내서읍,3811411,,,,,48124,,,4812411.0,,,,,,
3811451,경상남도 창원시마산회원구 회원1동,0.6801615568741045,140,19.11310609753596,205.8334502811565,1.3332844619153126,,,13,3811451,3811451,,,,,경상남도창원시마산회원구회원1동,3811451,,,,,48124,,,4812451.0,,,,,,
3811452,경상남도 창원시마산회원구 회원2동,4.581405974927724,31,2.401009659523469,6.766481767747958,1.891082766372005,,,11,3811452,3811452,,,,,경상남도창원시마산회원구회원2동,3811452,,,,,48124,,,4812452.0,,,,,,
3811455,경상남도 창원시마산회원구 회성동,8.524874029080655,264,2.8152908674227324,30.96819954165005,3.8797803592926505,,,24,3811455,3811455,,,,,경상남도창원시마산회원구회성동,3811455,,,,,48124,,,4812455.0,,,,,,
3811456,경상남도 창원시마산회원구 양덕1동,1.014745017843892,171,10.840161623431824,168.5152397824402,1.623451709148941,,,11,3811456,3811456,,,,,경상남도창원시마산회원구양덕1동,3811456,,,,,48124,,,4812456.0,,,,,,
3811457,경상남도 창원시마산회원구 양덕2동,1.6913129294304254,340,13.598902722127,201.02725763144247,0.7894750155926712,,,23,3811457,3811457,,,,,경상남도창원시마산회원구양덕2동,3811457,,,,,48124,,,4812457.0,,,,,,
3811458,경상남도 창원시마산회원구 합성1동,4.053998860361071,161,3.9467203990715856,39.71387401565783,2.6497389839197854,,,16,3811458,3811458,,,,,경상남도창원시마산회원구합성1동,3811458,,,,,48124,,,4812458.0,,,,,,
3811459,경상남도 창원시마산회원구 합성2동,2.546112702722979,168,6.284089460332434,65.98293933349056,2.4584466603271187,,,16,3811459,3811459,,,,,경상남도창원시마산회원구합성2동,3811459,,,,,48124,,,4812459.0,,,,,,
3811460,경상남도 창원시마산회원구 구암1동,3.4732450540961173,157,7.197879680420661,45.20268439304175,3.820329297104733,,,25,3811460,3811460,,,,,경상남도창원시마산회원구구암1동,3811460,,,,,48124,,,4812460.0,,,,,,
3811461,경상남도 창원시마산회원구 구암2동,0.7642881785288244,242,19.626104944961263,316.6344931120418,3.2988302522397985,,,15,3811461,3811461,,,,,경상남도창원시마산회원구구암2동,3811461,,,,,48124,,,4812461.0,,,,,,
3811462,경상남도 창원시마산회원구 봉암동,5.649566154116373,122,3.0090806154404444,21.594578534337305,1.5380346992970646,,,17,3811462,3811462,,,,,경상남도창원시마산회원구봉암동,3811462,,,,,48124,,,4812462.0,,,,,,
3811463,경상남도 창원시마산회원구 석전동,2.0940989379748416,315,9.550647124314754,150.42269220795737,1.922276134328184,,,20,3811463,3811463,,,,,경상남도창원시마산회원구석전동,3811463,,,,,48124,,,4812463.0,,,,,,
3811554,경상남도 창원시진해구 여좌동,4.704499646230612,146,5.31406140502758,31.034118605361066,9.059308031836146,,,25,3811554,3811554,,,,,경상남도창원시진해구여좌동,3811554,,,,,0000n,,,0000nan,,,,,,
