adm_cd,n_stops,n_routes_mean,n_routes_median,adm_nm,area_km2,stops_density,routes_density,tot_2024_12,youth_20_34,youth_share_2034,n_stops_density,BPH_mean,n_stops_with_bph,headway_mean_s_mean,headway_cv_mean
3811111,353,,,경상남도 창원시의창구 동읍,59.25491204336564,2.6664456084985475,14.74983203688437,18279.0,2520.0,0.137863121614968,5.957312024050552,15.762112887112888,156,1260.0,0.035911267685338644
3811131,470,,,경상남도 창원시의창구 북면,74.52859082448066,2.9653049595485896,14.437412382236571,42941.0,5273.0,0.1227963950536783,6.306304665103335,14.540030488302385,217,1260.0,0.08652396587519637
3811132,226,,,경상남도 창원시의창구 대산면,33.03283322892623,3.3905659627743865,11.866980869710352,6674.0,686.0,0.1027869343721906,6.841677746312601,10.357523107523107,111,1260.0,0.09026775375650474
3811151,139,,,경상남도 창원시의창구 의창동,7.624926160095271,8.262375094162595,70.42691151690974,48537.0,8299.0,0.1709829614520881,18.22968473156509,24.378458464022888,63,1320.0,0.6643009215222563
3811152,233,,,경상남도 창원시의창구 팔룡동,14.60709376783383,6.777528889285777,50.59185706244635,24886.0,5086.0,0.204371936028289,15.951153850541273,18.16271214255095,98,1320.0,0.36225109820738033
3811153,88,,,경상남도 창원시의창구 명곡동,6.942610771079798,5.76152132373953,68.12998965321994,39104.0,7245.0,0.1852751636661211,12.675346912226969,30.057229135581206,40,1320.0,0.7889881725852229
3811154,153,,,경상남도 창원시의창구 봉림동,12.67388192465538,5.444267226899876,32.98121305571229,29274.0,6933.0,0.2368313178930108,12.072070807473636,12.873919638378307,69,1320.0,0.8231408727873523
3811251,51,,,경상남도 창원시성산구 반송동,1.920091333922784,12.499405406391546,80.20451802434576,39004.0,6335.0,0.1624192390524048,26.561236488582036,15.361320591713032,24,1320.0,0.8679996231461529
3811252,79,,,경상남도 창원시성산구 중앙동,4.628941183732943,8.857317121263602,58.54470585030332,37763.0,9782.0,0.2590366231496438,17.066537867800598,14.734925279127465,41,1320.0,0.04407978009300112
3811253,34,,,경상남도 창원시성산구 상남동,1.182656923033811,7.609983778653869,122.60529421164568,26359.0,4908.0,0.1861982624530521,28.74882760824795,41.50132305149165,9,1320.0,0.3682533791882412
3811254,84,,,경상남도 창원시성산구 사파동,6.49294426497726,6.930600073487248,43.73978713045285,44547.0,8816.0,0.1979033380474555,12.937120137176194,16.289238347776646,45,1320.0,0.36515214698014253
3811255,76,,,경상남도 창원시성산구 가음정동,2.9425341841582875,12.234352346291535,142.7341107067346,37505.0,7293.0,0.1944540727902946,25.82807717550436,29.411953487738426,36,1320.0,0.6252813153068827
3811256,161,,,경상남도 창원시성산구 성주동,25.958972139618385,2.3883842421239816,13.444291943568864,26113.0,4914.0,0.1881821315053804,6.202094564225177,15.158644333923782,58,1320.0,0.5645698501984209
3811257,232,,,경상남도 창원시성산구 웅남동,39.42762611742833,2.485566838544224,9.76472686570945,7031.0,1196.0,0.1701038259138102,5.884199046349591,8.388907454568502,98,1320.0,0.022069030425493564
3811258,77,,,경상남도 창원시성산구 용지동,2.643241717232573,14.754609745200412,111.98370473280312,26167.0,5093.0,0.1946344632552451,29.130896163600816,17.291156491273718,39,1320.0,0.8314204985489694
3811331,312,,,경상남도 창원시마산합포구 구산면,51.827881371856606,2.8749004600622063,10.18756673095869,3919.0,291.0,0.0742536361316662,6.019925795566499,10.504199450773099,149,1200.0,0.1907003045007394
3811332,153,,,경상남도 창원시마산합포구 진동면,33.782063572970074,2.1313085224790447,12.758249627617614,11551.0,1257.0,0.1088217470348887,4.52903061026797,18.276889126860524,68,1260.0,0.09001635213878648
3811333,222,,,경상남도 창원시마산합포구 진북면,46.62302419210105,2.316452050707975,4.976082183002316,3110.0,234.0,0.0752411575562701,4.7615958820108375,6.0657926978681695,106,1320.0,0.02671429850649498
3811334,242,,,경상남도 창원시마산합포구 진전면,78.82440614278934,1.5984896831541326,4.630545510724273,3630.0,213.0,0.0586776859504132,3.0701151057404767,8.236511456023651,123,1260.0,0.0341391056102979
3811351,122,,,경상남도 창원시마산합포구 현동,19.930236901809185,2.709450984754632,25.18785915457084,13605.0,1476.0,0.108489525909592,6.12135222481602,26.462719145129295,54,1320.0,0.1427160654109024
3811352,37,,,경상남도 창원시마산합포구 가포동,5.409628650990493,3.881967017487409,36.04683659095451,4982.0,1260.0,0.2529104777197912,6.839656173668292,22.98930161273076,21,1320.0,0.028904288391874623
3811353,77,,,경상남도 창원시마산합포구 월영동,2.6714182333585303,14.598986977403706,184.17183571493908,40977.0,6583.0,0.1606510969568294,28.823640955386804,34.381480685927905,39,1320.0,0.09789957978343986
3811354,37,,,경상남도 창원시마산합포구 문화동,1.8661360792897708,10.1814654412722,177.9077119211774,10762.0,2319.0,0.2154803939788143,19.82706428037218,50.11182706426102,19,1320.0,0.12262862422738904
3811357,32,,,경상남도 창원시마산합포구 완월동,2.487444373383868,6.432304646167396,68.74525590591405,8354.0,1187.0,0.1420876226957146,12.864609292334793,31.377930952699614,16,1320.0,0.1592213132341403
3811358,26,,,경상남도 창원시마산합포구 자산동,1.1752778126279246,12.76293982480615,22.122429029663994,8945.0,1155.0,0.1291224147568474,22.122429029663994,2.466403162055336,15,1380.0,0.020639312053896016
3811364,22,,,경상남도 창원시마산합포구 합포동,0.5746745141103851,17.401154487388965,358.4637824402127,6555.0,819.0,0.1249427917620137,38.282539872255725,56.49057696212717,10,1320.0,0.11774946920493166
