lawd_cd,deal_ym,housing_type,exclusive_m2,deposit,rent,buildYear,contractDay,dong,roadAddr,rent_per_m2,deposit_per_m2
48121,202507,APT,,,115.0,2025.0,,북면 감계리,,,
48121,202507,APT,,,60.0,2000.0,,동읍 용잠리,,,
48121,202507,APT,,,0.0,1993.0,,팔용동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,북면 감계리,,,
48121,202507,APT,,,70.0,1993.0,,팔용동,,,
48121,202507,APT,,,0.0,2019.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,60.0,2019.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2000.0,,팔용동,,,
48121,202507,APT,,,70.0,2019.0,,중동,,,
48121,202507,APT,,,60.0,2013.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2019.0,,북면 감계리,,,
48121,202507,APT,,,75.0,2015.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2014.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,13.0,1994.0,,팔용동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,32.0,2025.0,,명곡동,,,
48121,202507,APT,,,50.0,1997.0,,동읍 용잠리,,,
48121,202507,APT,,,0.0,1999.0,,팔용동,,,
48121,202507,APT,,,135.0,2010.0,,명서동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2011.0,,봉림동,,,
48121,202507,APT,,,35.0,1999.0,,북면 신촌리,,,
48121,202507,APT,,,130.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,1999.0,,팔용동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,6.0,2025.0,,명곡동,,,
48121,202507,APT,,,0.0,1999.0,,팔용동,,,
48121,202507,APT,,,0.0,2023.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2000.0,,팔용동,,,
48121,202507,APT,,,40.0,2014.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2018.0,,북면 무동리,,,
48121,202507,APT,,,13.0,2025.0,,명곡동,,,
48121,202507,APT,,,28.0,2025.0,,명곡동,,,
48121,202507,APT,,,70.0,2015.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2010.0,,명서동,,,
48121,202507,APT,,,60.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,35.0,1998.0,,북면 신촌리,,,
48121,202507,APT,,,23.0,2009.0,,도계동,,,
48121,202507,APT,,,6.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,1993.0,,팔용동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,70.0,2015.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,1993.0,,팔용동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,1993.0,,팔용동,,,
48121,202507,APT,,,0.0,2000.0,,팔용동,,,
48121,202507,APT,,,95.0,2019.0,,북면 감계리,,,
48121,202507,APT,,,80.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,70.0,2015.0,,북면 무동리,,,
48121,202507,APT,,,40.0,2015.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2019.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,20.0,1990.0,,도계동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,85.0,2018.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2023.0,,북면 무동리,,,
48121,202507,APT,,,0.0,2018.0,,동읍 용잠리,,,
48121,202507,APT,,,20.0,1990.0,,팔용동,,,
48121,202507,APT,,,70.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2005.0,,서상동,,,
48121,202507,APT,,,0.0,2014.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,40.0,1991.0,,소계동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,1993.0,,팔용동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2019.0,,중동,,,
48121,202507,APT,,,15.0,1990.0,,도계동,,,
48121,202507,APT,,,50.0,1999.0,,팔용동,,,
48121,202507,APT,,,0.0,2017.0,,북면 감계리,,,
48121,202507,APT,,,0.0,2023.0,,북면 무동리,,,
48121,202507,APT,,,26.0,2025.0,,명곡동,,,
48121,202507,APT,,,70.0,2016.0,,북면 동전리,,,
48121,202507,APT,,,0.0,2023.0,,북면 무동리,,,
48123,202507,APT,,,25.0,1992.0,,대방동,,,
48123,202507,APT,,,60.0,2007.0,,반림동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,30.0,1988.0,,사파동,,,
48123,202507,APT,,,0.0,1989.0,,반림동,,,
48123,202507,APT,,,0.0,1995.0,,남양동,,,
48123,202507,APT,,,0.0,1989.0,,반림동,,,
48123,202507,APT,,,0.0,2024.0,,안민동,,,
48123,202507,APT,,,30.0,1989.0,,반림동,,,
48123,202507,APT,,,0.0,2017.0,,용호동,,,
48123,202507,APT,,,0.0,1989.0,,반림동,,,
48123,202507,APT,,,0.0,2007.0,,반림동,,,
48123,202507,APT,,,80.0,2018.0,,남산동,,,
48123,202507,APT,,,20.0,1990.0,,반지동,,,
48123,202507,APT,,,0.0,1988.0,,신월동,,,
48123,202507,APT,,,25.0,1990.0,,반지동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,50.0,1987.0,,용호동,,,
48123,202507,APT,,,0.0,2022.0,,사파정동,,,
48123,202507,APT,,,57.0,1988.0,,사파동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,115.0,2014.0,,상남동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,35.0,1987.0,,용호동,,,
48123,202507,APT,,,100.0,2006.0,,반림동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,2014.0,,상남동,,,
48123,202507,APT,,,60.0,1987.0,,용호동,,,
48123,202507,APT,,,50.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,2024.0,,안민동,,,
48123,202507,APT,,,40.0,1997.0,,대원동,,,
48123,202507,APT,,,200.0,2017.0,,용호동,,,
48123,202507,APT,,,0.0,2017.0,,가음동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,100.0,1990.0,,반지동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,100.0,2017.0,,가음동,,,
48123,202507,APT,,,100.0,2006.0,,반림동,,,
48123,202507,APT,,,57.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,43.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,2017.0,,용호동,,,
48123,202507,APT,,,0.0,2018.0,,대원동,,,
48123,202507,APT,,,45.0,1988.0,,사파동,,,
48123,202507,APT,,,50.0,1988.0,,가음동,,,
48123,202507,APT,,,0.0,2024.0,,안민동,,,
48123,202507,APT,,,0.0,2017.0,,용호동,,,
48123,202507,APT,,,60.0,1988.0,,신월동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,2017.0,,가음동,,,
48123,202507,APT,,,55.0,1988.0,,사파동,,,
48123,202507,APT,,,0.0,2018.0,,대원동,,,
48123,202507,APT,,,45.0,2017.0,,용호동,,,
48123,202507,APT,,,0.0,2017.0,,용호동,,,
48123,202507,APT,,,80.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,2017.0,,가음동,,,
48123,202507,APT,,,45.0,1986.0,,용호동,,,
48123,202507,APT,,,0.0,1984.0,,용호동,,,
48123,202507,APT,,,0.0,1998.0,,남양동,,,
48123,202507,APT,,,0.0,1988.0,,사파동,,,
48123,202507,APT,,,45.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1987.0,,용호동,,,
48123,202507,APT,,,0.0,1999.0,,대원동,,,
48123,202507,APT,,,50.0,1987.0,,용호동,,,
48123,202507,APT,,,70.0,1992.0,,남양동,,,
48123,202507,APT,,,0.0,2005.0,,성주동,,,
48123,202507,APT,,,0.0,1988.0,,사파동,,,
48123,202507,APT,,,50.0,1992.0,,대방동,,,
48123,202507,APT,,,36.0,1980.0,,남산동,,,
48123,202507,APT,,,0.0,1988.0,,사파동,,,
48123,202507,APT,,,0.0,1989.0,,사파동,,,
48123,202507,APT,,,45.0,1986.0,,신촌동,,,
48123,202507,APT,,,0.0,2017.0,,용호동,,,
48123,202507,APT,,,120.0,2007.0,,반림동,,,
48123,202507,APT,,,50.0,1987.0,,용호동,,,
