adm_cd7,year,stops_count,stops_per_km2,coverage_pct,stops_per_10k_youth,adm_nm,pop_total,youth_20_34,youth_share,pop_fill_source
4812131,2020,214,2.8713812730470503,0.4159929234144193,301.32357082511965,경상남도 창원시 의창구 북면,43411.0,7102.0,0.1635990877888093,
4812132,2020,111,3.360293052392472,0.5034509984622109,1168.421052631579,경상남도 창원시 의창구 대산면,7225.0,950.0,0.1314878892733564,
4812151,2020,61,8.000077472125687,0.6015748919829422,59.2693354061407,경상남도 창원시 의창구 의창동,50992.0,10292.0,0.2018355820520866,
4812152,2020,108,7.393667879220847,0.6091826127008918,128.03793716656787,경상남도 창원시 의창구 팔룡동,37958.0,8435.0,0.2222192950102745,
4812153,2020,39,5.6174832906460415,0.5722269742879124,44.889502762430936,경상남도 창원시 의창구 명곡동,42402.0,8688.0,0.2048959954719117,
4812154,2020,70,5.523169650478135,0.3985377887829341,103.47376201034736,경상남도 창원시 의창구 봉림동,30336.0,6765.0,0.2230023734177215,
4812551,2020,24,12.499405406391546,0.970153609431551,114.88750598372428,경상남도 창원시 마산합포구 현동,14293.0,2089.0,0.1461554607150353,
4812552,2020,38,8.209220746536998,0.8415604834050275,2235.2941176470586,경상남도 창원시 마산합포구 가포동,941.0,170.0,0.1806588735387885,
4812553,2020,17,14.374413804123977,0.962688665756212,26.430348258706463,경상남도 창원시 마산합포구 월영동,35173.0,6432.0,0.1828675404429534,
4812554,2020,37,5.6984933937561815,0.4464851190189853,168.56492027334852,경상남도 창원시 마산합포구 문화동,11277.0,2195.0,0.1946439655936862,
4812556,2020,74,2.850652159954429,0.3202571096296926,329.035126722988,경상남도 창원시 마산합포구 반월중앙동,14882.0,2249.0,0.1511221609998656,
4812557,2020,113,2.866010742403033,0.3986875535461437,733.7662337662338,경상남도 창원시 마산합포구 완월동,9274.0,1540.0,0.1660556394220401,
4812558,2020,37,13.99796309160039,0.9892649256547908,226.02321319486865,경상남도 창원시 마산합포구 자산동,10874.0,1637.0,0.1505425786279198,
4812351,2020,53,2.659275966518435,0.3795587401889428,68.59065614080497,경상남도 창원시 성산구 반송동,41935.0,7727.0,0.1842613568618099,
4812352,2020,14,2.5879780116582727,0.514020672966102,20.78693392724573,경상남도 창원시 성산구 중앙동,22953.0,6735.0,0.2934256959874526,
4812353,2020,35,13.101654979721276,0.8177901998521456,59.21163931652851,경상남도 창원시 성산구 상남동,28257.0,5911.0,0.2091871040804048,
4812354,2020,18,9.64559883909998,0.6113520784590136,18.40302627543196,경상남도 창원시 성산구 사파동,45636.0,9781.0,0.2143264089753703,
4812357,2020,16,6.432304646167396,0.3429827417890376,109.73936899862824,경상남도 창원시 성산구 웅남동,7933.0,1458.0,0.1837892348418,
4812751,2020,13,19.11310609753596,1.0,95.94095940959409,경상남도 창원시 마산회원구 회원1동,10504.0,1355.0,0.128998476770754,
4812752,2020,13,2.8375568703459177,0.2357977553378643,74.11630558722919,경상남도 창원시 마산회원구 회원2동,9994.0,1754.0,0.1755053031819091,
4812755,2020,23,2.6979870812801185,0.4133321208395446,261.06696935300795,경상남도 창원시 마산회원구 회성동,6298.0,881.0,0.1398856779930136,
4812756,2020,11,10.840161623431824,0.6825858169241535,57.29166666666666,경상남도 창원시 마산회원구 양덕1동,11289.0,1920.0,0.1700770661706085,
4812757,2020,23,13.598902722127,0.9992019263856062,45.18664047151277,경상남도 창원시 마산회원구 양덕2동,31851.0,5090.0,0.1598065994788232,
4812758,2020,15,3.7000503741296114,0.2692192394078291,86.05851979345955,경상남도 창원시 마산회원구 합성1동,9479.0,1743.0,0.1838801561346133,
4812759,2020,11,4.320311503978549,0.3889999402317072,80.2919708029197,경상남도 창원시 마산회원구 합성2동,7772.0,1370.0,0.176273803396809,
4812760,2020,18,5.182473369902875,0.2807675915600784,133.33333333333331,경상남도 창원시 마산회원구 구암1동,9082.0,1350.0,0.1486456727593041,
4812761,2020,13,17.009290952299764,1.0,71.11597374179432,경상남도 창원시 마산회원구 구암2동,9674.0,1828.0,0.188960099235063,
4812762,2020,22,3.8941043258641046,0.4989091649794529,440.0,경상남도 창원시 마산회원구 봉암동,3369.0,500.0,0.1484119916889284,
4812954,2020,25,5.31406140502758,0.499543587865811,212.22410865874363,경상남도 창원시 진해구 여좌동,8754.0,1178.0,0.1345670550605437,
4812955,2020,19,15.557852636810836,0.8621505708451972,289.19330289193306,경상남도 창원시 진해구 태백동,5040.0,657.0,0.1303571428571428,
4812956,2020,23,7.5613216550954,0.7624187248704166,125.34059945504087,경상남도 창원시 진해구 경화동,11402.0,1835.0,0.1609366777758288,
4812957,2020,8,6.4828717007500165,0.9226062227957542,70.17543859649122,경상남도 창원시 진해구 병암동,7545.0,1140.0,0.151093439363817,
4812958,2020,13,5.75588483299771,0.6084144667388919,40.86765168186105,경상남도 창원시 진해구 석동,17463.0,3181.0,0.1821565595831186,
4812959,2020,16,17.69212786331572,0.9998194736907544,105.54089709762532,경상남도 창원시 진해구 이동,8576.0,1516.0,0.1767723880597015,
4812960,2020,24,4.40986333675915,0.3318407613209524,67.52954417557682,경상남도 창원시 진해구 자은동,21460.0,3554.0,0.1656104380242311,
4812961,2020,19,7.821853667699599,0.5050539282127506,108.57142857142858,경상남도 창원시 진해구 덕산동,10224.0,1750.0,0.1711658841940532,
4812962,2020,51,5.948680112058023,0.5375208992294854,137.54045307443366,경상남도 창원시 진해구 풍호동,26083.0,3708.0,0.1421615611701108,
